Perth Metropolitan Area,Location,Main risk,Supports,Description,Longitude,Latitude
"Cambridge","2, Wembley","Poorly timed traffic light system",0,"At peak hour traffic gets banked back from exit at Powis Street to nearly all the way back to Leederville. The cars at the Powis St lights that are turning right block cars exiting from the freeway and from turning left. It can be difficult to merge given the different speeds in the lanes.  Cars constantly stop and start on the freeway with other cars going at speed trying to merge into a gap.",115.8269262314,-31.9242108175
"Cambridge","Powis St, Glendalough","Narrow road, lanes or bridges",7,"Traffic on Powis Street on-ramp to freeway can get so backed up during peak hour that it causes issues with cars trying to squeeze in close to on-ramp rather than wait in line.  I have seen some drivers abusing each other trying to do this, and they can often block the left lane trying to merge into the right lane to go up the on-ramp.",115.825252533,-31.9226081332
"Cambridge","Glengariff Dr & Louth Rd, Floreat","Lacks median strip/traffic separation",0,"After living in Floreat for over 26 years I avoid this intersection at all costs. Traffic heading East down Glengariff Dr turning right on to Louth Rd will continually cut the corner and risk having a head on collision. The intersection is very wide and has no medium strip which allows this to happen.",115.7856792212,-31.9378438873
"Cambridge","Cambridge St & Selby St, Floreat","Little chance to turn/cross traffic",7,"There is no right turn green arrow for drivers on selby street at the intersection to turn onto Cambridge street. Especially during peak hour, drivers take risks after the lights change just to get across...",115.8041703701,-31.9407846685
"Cambridge","72 & Jersey St, Wembley","Little chance to turn/cross traffic",51,"This interestion is subject to many near misses, swerving vehicles and people pulling in dangerously after waiting excessive times to enter Grantham Street. The intersection is heavily used as it adjoins a large primary school and Ian the road off Grantham down to the shopping centre. There is always pedestrians around the intersection and it is only a Meyer if time before a serious accident occurs unless lights are installed ",115.8116805553,-31.934509219
"Cambridge","Cambridge St, West Leederville","Poor road markings or no edge-lines",0,"far left lane has option to go straight or turn left onto freeway. Lights will be green but turning arrow will be red. At peak hour, when the traffic is built up, people far back in the left lane to not realise that it is a turning lane and therefore get roadrage, tooting their horn and sometimes even getting out of their vehicle. Also, the turning lane is to the freeway, however there is no signage to advise this. ",115.8400315046,-31.9406481018
"Cambridge","The Boulevard, Floreat","Poor or confusing signage",0,"No ���Form One Lane�۝ signage",115.8039262891,-31.9396466065
"Cambridge","Birkdale St & Cambridge St, Floreat","Area requires lights/roundabout",0,"Far too many close calls with cars crossing. Accidents have occured and with coffee shops at the intersection, concerned that a car will hit people.",115.8013835549,-31.9408028774
"Cambridge","72 & Nanson St, Wembley","Other",0,"When heading south on Nanson st towards grantham it isnt possible to see oncoming traffic unless tou pull out a cars length in front of the stopusign",115.8152961838,-31.9343387311
"Cambridge","116 Lissadell St, Floreat","Other",0,"Cars turning right out of Seymour Ave onto The Boulevard rarely give way to cars turning left out of Lissadell. Even though they are a continuation of the same street, the cars turning in front of oncoming traffic think they have the right of way. Many accidents and near misses here. Maybe needs a roundabout?",115.7988488674,-31.9379963914
"Cambridge","13-29 Pangbourne St, Wembley","Other",0,"Need boom gates to prevent idiots ignoring the stop sign- it is frequently ignored. My life has been destroyed by an idiot doing this and driving into the driver's side of my car, I have permanent and severe spinal damage.  MANY cars have been observed ignoring the stop sign. Intersection is too big - idiots take chances. REduce the width of Pangbourne entering Ruislip.  Or put in boom gates and traffic lights.",115.8127641678,-31.937559364
"Cambridge","72, Floreat","Vehicles travel over the speed limit",1,"During peak hour, traffic travelling east on The Boulevard approach this roundabout at high speed making it difficult for vehicles to enter the roundabout safely from Grantham Street. This causes traffic build up. When there is a small opportunity to enter the roundabout it is necessary to do so with speed as even though there is no vehicle already in the roundabout traffic approaching are barely slowing down on approach. ",115.7906413078,-31.9343999582
"Cambridge","72 & Kimberley St, West Leederville","Other",0,"Large entering and exiting points and hard to gauge which lane oncoming traffic is in from the west to east entering into lake monger drive causing risk taking/ sometimes incorrect assumption of which lane approaching vehicles are in due to poor visibility as traffic approaches around slight bend.",115.8345222473,-31.9343544328
"Cambridge","Pangbourne St & Ruislip St, Wembley","Area requires lights/roundabout",0,"Feels like there is an accident here at least once a week.",115.8129036427,-31.9374410021
"Cambridge","Flynn St & Reserve St, Wembley","Poor road markings or no edge-lines",0,"No stop sign / stopping line when wanting to turn onto Flynn Street, and you need to edge almost right into Flynn Street if you're turning left (from Reserve into Flynn) before being able to see any oncoming traffic as there are often cars parked on the road, blocking the visibility. a simple line on the road indicating where it is safe to stop would help alot (although visibility is still an issue when cars are parked there) ",115.8064797521,-31.9311539425
"Cambridge","Jersey St & Ruislip St, Wembley","Lacks median strip/traffic separation",0,"Busy school intersection could be improved with a central pedestrian  island enabling children to cross in a safer manner. Thanks!",115.8116322756,-31.9374364497
"Cambridge","243 Cambridge St, Wembley","Little chance to turn/cross traffic",2,"it is almost impossible to turn right onto cambridge street at very busy times.  the oncoming traffic is coming fast and downhill.  A green arrow for cars turning right should be installed ",115.819518,-31.941037
"Cambridge","Lissadell St & The Boulevard, Floreat","Confusing layout",0,"Cars approaching from Seymour Ave south towards Boulevard turning right. Cars approaching from Lissadell St north towards Boulevard crossing over intersection can�۪t see to the right due to curved road and blind rise on Boulevard. Cars from Seymour frequently turn across in front of cars from Lisaadell, with others speeding heading from east to west on Boulevard. Makes for an extremely dangerous intersection. Lots of children, bikes, adults, prams all struggling to cross. Needs roundabout or ligh",115.7986155152,-31.936462234
"Cambridge","72 & Southport St, West Leederville","Poorly timed traffic light system",0,"this is a very busy commute home area for city workers and the left filter lane is often seen as a right to go even when on red (mainly due to pedestrians crossing vincent street...............very dangerous and i have seen many near misses to pedestrians",115.8212184906,-31.9237555123
"Cambridge","Cambridge St & Lissadell St, Floreat","Tight curves or blind crests",0,"As you drive along Lissadell Road (heading south) trying to cross over Salvado Road, you cannot see traffic coming up the hill over the crest (driving West). As you need to go up an incline to cross Salvado road it can be hard/dangerous to get across the road especially if a car is speeding over the crest. ",115.7985913754,-31.9408097057
"Cambridge","65 & Montgomery Ave, Mount Claremont","Little chance to turn/cross traffic",4,"I have spoken to Main Roads to lower the speed limit at this intersection without success. I have written to both the Shire of Nedlands (Montgomery Avenue) and the Town of Cambridge (65 Stephenson Avenue) to redress this dangerous intersection. The answer is that there have no been enough crashes to justify an improvement in safety.",115.7754600048,-31.9575512411
