Perth Metropolitan Area,Location,Main risk,Supports,Description,Longitude,Latitude
"Canning","Kurnall Rd & Orrong Rd, Welshpool","Little chance to turn/cross traffic",0,"One death in last 6 months, around 2 accidents a month.",115.9549427032,-31.9958113483
"Canning","7 & 8, Welshpool","Vegetation/objects block visibility",0,"The off ramp from Welshpool Rd coming from airport is dangerous. The barrier on right us too high and the stop line is too far back. So you cannot see vehicles on Abernethy coming from the right.  I nearly got killed because my light turned green and started to move forward. But because some idiot ran the red light. But because my line of sight was blocked I couldn't see the danger. ",115.9348166369,-31.9859237734
"Canning","Bull Creek Rd, Rossmoyne","Poor road surface quality",0,"East Bound right lanes of poor quality",115.8713455328,-32.0429809525
"Canning","Sevenoaks St, Welshpool","Lacks median strip/traffic separation",4,"The installation of traffic lights at this railway crossing has meant that at times, because of traffic turning left into Sevenoaks Stree, traffic travelling along Welshpool Rd towards Albany Hwy will end up having the lights turn red before they exit the intersection. Many vehicles including large trucks turn left into Sevenoaks St. ",115.9216377139,-31.9943850714
"Canning","Hossack Ave, Parkwood","Little chance to turn/cross traffic",2,"Cars being rear ended trying to turn right as they push to the median strip cars way too many vehicles using Willeri Drive needs better protection",115.9039673209,-32.045742071
"Canning","13 & Banksia Espl, Canning Vale","Little chance to turn/cross traffic",5,"",115.9137654305,-32.0852379979
"Canning","30 & Liege St, Cannington","Vehicles travel over the speed limit",1,"Cars consistenly going through a red light on Albany Highway in both directions, Cars turning right and going through the red turn arrow in Liege Street from Albany Highway. Cars doing U Turns at the traffice lights in both directions on Albany Highway",115.9390640259,-32.0228495429
"Canning","Channon St & Radium St, Bentley","Little chance to turn/cross traffic",0,"It is hard to get out and their has been a death on that road",115.9284210205,-32.0022532031
"Canning","Felspar St & Orrong Rd, Welshpool","Little chance to turn/cross traffic",1,"Turning Right from Felspar St onto Orrong Road is a joke sometimes. you have to wait for the traffic to clear coming on from your drivers side, then once that is clear, you have to give way to turning traffic coming from Orrong Road onto Felspar then once that is clear you then have to wait all over again as there is very little gap for you to turn as there is more traffic coming from your drivers side again.Sometimes you can sit up to 15-30 Min as it is a repetitive cycle. ",115.9696680307,-32.0018051085
"Canning","Holder St & Walpole St, St James","Confusing layout",0,"Google maps uses this route from Walpole street to Holder street as a way to get to Curtin Uni. It is very unclear that you are actually crossing traffic when continuing along Walpole onto Holder street. Signage or median to slow down traffic is needed. For a vehicle traveling North-East on Walpole st, which is also down hill they may have traffic crossing in front of them without stopping",115.9066683054,-32.0063268968
