Perth Metropolitan Area,Location,Main risk,Supports,Description,Longitude,Latitude
"Gosnells","Spencer Rd, Thornlie","Other",2,"This intersection is notorious for vehicles running red lights.  They constantly fail to slow for the amber lights and the go through when the red is showing. The give way lanes often have vehicles fail to adhere to the give way sign.  They try to beat cars coming through the lights and vehicles behind other vehicles at the give way line fail to look in front of them before taking off and often hit hte car in the rear.",115.970928669,-32.0661490657
"Gosnells","Yale Rd, Thornlie","Confusing layout",11,"I believe there should be traffic lights in this intersection as the lanes are too confusing in this roundabout.",115.9381628036,-32.0621939606
"Gosnells","2, Bibra Lake","Poor road surface quality",0,"this highway surface is degrading all the way from kwinana fwy to tonkin hwy. also needs an extra lane as very large trucks hog the right lane",116.003322,-32.0263
"Gosnells","Camberwell St & William St, Beckenham","Little chance to turn/cross traffic",0,"Very poor intersection, should have been made into traffic lights or roundabout but council missed the opportunity and made no real changes at all, only prettied the road up and spent big $$$ for no reason!!!",115.9526375207,-32.0244791232
"Gosnells","Welshpool Rd E, Beckenham","Narrow road, lanes or bridges",3,"Cyclist squeezed by B double trucks passing side by side struggling to not fall over very low bridge railing.",115.9770011902,-32.004509565
"Gosnells","Nicholson Rd, Canning Vale","Confusing layout",6,"The lanes on this roundabout cross eachother it is sooooo dangerous.  It should have traffic lights (like those just off the causeway?).  Also turning onto nicholson road and having to cross lanes to access the Roe is fatal.  I dice with death every time I have to go this way",115.9380447865,-32.0623962661
"Gosnells","463-491 Warton Rd, Canning Vale","Poor or no road lighting",0,"",115.9278148413,-32.1051022537
"Gosnells","30 & Burslem Dr, Maddington","Poorly timed traffic light system",1,"A popular intersection for those going to Maddington shopping centre. Cars often speed down Albany highway and there is little opportunity to turn right onto Burlsem Dr. This causes motorists to take risks instead of waiting.",115.9774786234,-32.0485225276
"Gosnells","712-712 Ranford Rd, Harrisdale","Unsafe or poor pedestrian crossing",0,"Too many entry points before and around Grand Boulevard",115.938151,-32.105858
"Gosnells","30, Gosnells","Lacks overtaking opportunities",0,"",116.0123634338,-32.0899192799
"Gosnells","Albany Hwy & Helm St, Maddington","Area requires lights/roundabout",0,"Several serious to near fatal crashes at this intersection due to impatient traffic and road users not giving way.",115.9937596321,-32.0587910696
"Gosnells","59 Nyandi Ct, Thornlie","Area requires lights/roundabout",0,"Huge volume of traffic that banks back thru 2 other sets of lights at the roe highway overpass and Bannister/ Wilfred. Bridge over rail hasnt helped",115.9373259544,-32.0607414395
"Gosnells","Warton Rd, Huntingdale","Little chance to turn/cross traffic",3,"Turning right onto Warton from Matilda and then trying to cross busy lanes to turn left into Discovery Drive Thiornlie",115.9665150245,-32.0711333842
"Gosnells","Campbell Rd & Ranford Rd, Canning Vale","Poorly timed traffic light system",1,"Needs a slip Lane. Huge line of traffic around school times. Slip lane would allow traffic to enter Ranford road without waiting for the small window for the traffic lights.",115.9258139133,-32.0929733463
"Gosnells","Main St, Gosnells","Confusing layout",1,"Back up of traffic due to train crossing, spilling over into Albany Hwy. Poor layout of road means parked cars are in the way of through traffic. Poor signage means vehicles that are in the right turn only lane often go straight, causing many near misses and frustration. Crashes occur at this intersection often due to poor visibility of turning vehicles and drivers blocking through traffic. Only a matter of time before a pedestrian is injured or killed as they come out from the station.",115.999199152,-32.0708290525
