Perth Metropolitan Area,Location,Main risk,Supports,Description,Longitude,Latitude
"Melville","Canning Hwy & Murray Rd, Bicton","Tight curves or blind crests",1,"The intersection crosses onto Canning Highway and its hard to see oncoming traffic plus there is a gradient so you really have to accelerate hard in case there is a car coming up the hill at 60kms. There seems to be lots of near misses and collisions as there are often smashed tail lights on the ground.",115.78997612,-32.0351832966
"Melville","Kintail Rd, Applecross","Confusing layout",3,"When turning right from Kintail Road onto the Canning Highway Entry, Vehicles are also turning right from Canning Highway onto Canning Beach Road. Both have green lights but, especially in peak hour, there is little other opportunity for the vehicles coming from Kintail road to go. I see many drivers coming from Kintail road taking high risks when turning. Uncountable near misses and many accidents have occurred due to this.  ",115.85113585,-32.011212361
"Melville","1 & Winnacott St, Willagee","Little chance to turn/cross traffic",2,"",115.8050410942,-32.0476146351
"Melville","13, Leeming","Other",2,"Bus lane, need to change lanes, sudden stops because of four traffic lights in close succession",115.8553791046,-32.0658899434
"Melville","Leach Hwy, Booragoon","Other",0,"Heavy trucks travelling West at speed in the right lane refusing to allow smaller vehicles to merge when changing lanes as approaching intersection with intent of turning into shopping precinct on North side of Leach Hwy",115.8244585991,-32.0460239854
"Melville","Karel Ave & Keith Rd, Bull Creek","Area requires lights/roundabout",1,"The intersection is very busy near a High School and can be busy with school children walking with cars entering and exiting the narrow Keith Rd find it extremely hard to turn right on Karel Ave or head straight to Cypress Rd due to heavy traffic on Karel Ave towards Leach Hwy or traffic entering Keith Rd from Karel Hwy towards school often leading to jam packed roads and near misses at the road crossing.",115.8729609847,-32.0451759661
"Melville","Canning Beach Rd & Kintail Rd, Applecross","Confusing layout",4,"When crossing kintal road intersection from canning hwy the give way sign on quintal before the traffic lights is often ignored. Resulting in many near-miss T-bone accidents (and a lot of actual accidents also!)",115.8512592316,-32.011287415
"Melville","Canning Hwy & Norma Rd, Alfred Cove","Little chance to turn/cross traffic",35,"",115.8213418722,-32.0296692407
"Melville","13 & 2, Bateman","Poorly timed traffic light system",1,"Heavy congestion day long, public safety risk as Ambulances are heavily delayed crossing this bridge. ",115.850453372,-32.0658799862
"Melville","6-12 Absolon St, Palmyra","Little chance to turn/cross traffic",0,"Dangerous stock routes surrounding this street, no alternate exits",115.7911196048,-32.0513542636
"Melville","1, Booragoon","Unsafe or poor pedestrian crossing",1,"Truck traffic is massively high in both directions. There is no safe crossing point even though the paths end at the roads edge.",115.8290183544,-32.0460012504
"Melville","Andrea Ln, Booragoon","Unsafe or poor pedestrian crossing",2,"Vehicles do not stop at this crossing. The layout of the crossing is dangerous and has already been reported to Council and to Garden City.",115.8346349001,-32.0355493726
"Melville","57 Redwood Cr, Melville","Little chance to turn/cross traffic",0,"",115.7994067669,-32.0440278308
"Melville","13 & Findlay Rd, Leeming","Area requires lights/roundabout",1,"Accidents and near misses occur here daily.  Most near misses caused by traffic turning right into South st and failing to give way to traffic turning into Findlay St.  Need to modify this intersection and remove the ability to turn right into South St.  On any given morning tow trucks are parked at this intersection.",115.8614516258,-32.0659376765
"Melville","Somerville Blvd, Winthrop","Speed limit too high",0,"Vehicles travelling east and west along Somerville Blvd continue through the roundabout without any reduction in speed. The sight lines are impeded by houses, bushes and walls which allow no opportunity to assess traffic prior to entering the roundabout area.",115.8252632618,-32.0564496615
"Melville","Somerville Blvd, Murdoch","Speed limit too high",0,"This roundabout is especially dangerous when approaching from the east along Somerville Blvd. Vehicles approach along Prescott Drive and do not slow prior or check for traffic prior to entering the roundabout.  I have had seven incidents where I have almost been taken out by inattentive drivers. This roundabout requires traffic calming along Prescott Drive to slow the vehicles prior to reaching the roundabout .",115.8290934563,-32.0584773698
"Melville","Somerville Blvd, Winthrop","Speed limit too high",0,"Vehicles travelling east/west along Somerville Blvd do not slow through the roundabout. There are limited sight lines  and limited to no opportunity to assess traffic prior to entering the roundabout zone. Traffic calming is required to slow vehicles prior to entering the roundabout form both directions on Somerville Blvd.",115.833170414,-32.0595139388
"Melville","13 & Gilbertson Rd, Kardinya","Poorly timed traffic light system",0,"Gilbertson Toaf traffic take precendence over busier South Street Traffic, and signals change too quick.  Needs a bigger delay to allow smoother traffic flow on South Street. ",115.8194348216,-32.0686856983
"Melville","38-60 Selway Rd, Brentwood","Poor or no provision for cyclists",0,"This road is the continuation of the main cycle route into the city. Cyclists exit the southern cycle-way at 90 degrees to the road. Cyclist have a poor view of vehicular traffic and often ride out onto the road in front of cars without looking first. Cars parked opposite the cycle-way exacerbate the issue. There are no barriers to slow cyclists and no convex mirror to assist in viewing the road. It is only a matter of time before a cyclist is killed or badly injured.",115.8540165424,-32.0444052392
"Melville","Marmion St & Redwood Cres, Melville","Other",0,"There needs to be STOP signs not GIVE WAY signs at the crossroads of REDWOOD CRES and MARMION ST, another accident today there, school kids and buses stopping either side of road, GIVE WAY signs are useless there, either traffic lights and a pedestrian crossing are needed.Dont wait for someone else to get killed there.",115.7994389534,-32.0439505301
"Melville","Canning Hwy & Rome Rd, Alfred Cove","Area requires lights/roundabout",1,"Too many entry and exit points onto Canning Highway, including Rome Road, Ince Road, Hislop road shop parking and bus stop.",115.8086442947,-32.0321273
"Melville","Canning Beach Rd & Kintail Rd, Applecross","Little chance to turn/cross traffic",0,"Several near collisions between vehicles turning from Kintail Road to Canning highway and vehicles turning from Canning Highway onto Canning Beach road.",115.8512163162,-32.0112328303
"Melville","96 Farrington Rd, Leeming","Little chance to turn/cross traffic",1,"This round about as with others along Farrington Road has for most of the day, the traffic is continuous, and the Drivers in Vehicles will not slow down or stop.  Farrington Road has become a ""Rat Run"" as it is the easiest way to get onto Roe Highway for the West.  Most mornings and evenings, it is extremely difficult to Cross.  We have tried to address this with the Minister of Transport, our local member and our Council.  This issue will not go away with the new Roe Highway Extension.",115.8534264565,-32.0789997033
"Melville","31-31 Cranford Ave, Mount Pleasant","Poor or no provision for cyclists",0,"This is a very dangerous road crossing for cyclicts.",115.8545744419,-32.0410380646
"Melville","25-39 The Esplanade, Mount Pleasant","Poor or no provision for cyclists",1,"",115.850840807,-32.0153629814
"Melville","Dimond Ct & Karel Ave, Leeming","Little chance to turn/cross traffic",0,"Many vehicles block the intersection and will not allow traffic to leave Dimond Court to cross over onto Karel Avenue.  Also, there is little chance to cross traffic during peak periods.  These peak periods are becoming non stop all day now.",115.8653944731,-32.0813837139
"Melville","7 & Bull Creek Dr, Bull Creek","Poorly timed traffic light system",4,"Many drivers U turn at this intersection, not permitted. The  turn right into Bull Creek Drive is concurrent with turn left onto leach highway and many people doing u turns cause accidents here.  Main Roads and national safety council have not attended to this well known black spot despite the fact they are well aware of this dangerous intersection.",115.8596277237,-32.0471880099
"Melville","Campus Dr, Murdoch","Confusing layout",2,"The turning lanes into Murdoch University don't require the drivers traveling in a westerly direction to give way. This is confusing for driver who are waiting to cross traffic and turn into the campus. It is a 3 laned 70km/hr road with high traffic turning into the campus and there are frequent accidents related to this",115.8383283019,-32.0645579521
"Melville","2, Bateman","Distraction issues",1,"APN Advertisement - LED Screen Brightness distraction",115.8539843559,-32.0469242869
"Melville","Farrington Rd, Murdoch","Little chance to turn/cross traffic",0,"turning Right coming out of kennedy baptist onto Farrington is a nightmare. As cars are trying to turn into the college aswell.",115.8297264576,-32.0756474384
"Melville","Canning Hwy & Waddell Rd, Palmyra","Little chance to turn/cross traffic",1,"Extremely difficult and hazardous to turn right into Canning Hwy from Waddell Road. ""No Right Turn"" would be sensible.",115.7922452688,-32.0345443652
