Perth Metropolitan Area,Location,Main risk,Supports,Description,Longitude,Latitude
"Mundaring","94 & Scott St, Greenmount","Little chance to turn/cross traffic",38,"",116.0477256775,-31.9026268723
"Mundaring","Cameron Rd & Stoneville Rd, Gidgegannup","Tight curves or blind crests",2,"",116.1660191417,-31.8384348375
"Mundaring","Ridge Hill Rd, Helena Valley","Tight curves or blind crests",1,"Many cyclists use this road every weekend and it is narrow and double white lines all the way with blind bends make passing them very dangerous",116.0464331461,-31.9282433493
"Mundaring","640-640 Katharine St, Bellevue","Area requires lights/roundabout",2,"On this road there are deep drops with no barriers, no street lights even around tight and blind corners going at 60 km/hr and with lines of trees on both sides. Because of the poor conditions on this road mother and many others ive talked to have had accidents on this road. My mum ended up in hospital with damage to her knee, wrist and neck, going around a corner with no street light and went into a ditch and straight into a tree. There is also a terrible blind corner off of Farmview Drive. ",116.0315090418,-31.9041615942
"Mundaring","Coppin Rd & Phillips Rd, Mundaring","Vegetation/objects block visibility",0,"Recent fatality at intersection.Poor visibility. This is the road into the tip. It is narrow and turning in to this road can be tight with a trailer. Poor visibility when coming out of Coppin road to Phillips Road. Clear vegetation,make Coppin road at this point wider.",116.1517310143,-31.9057782618
"Mundaring","94 & Old Northam Rd, Sawyers Valley","Area requires lights/roundabout",4,"",116.2645554543,-31.8804639102
"Mundaring","94 & Old Northam Rd, Sawyers Valley","Tight curves or blind crests",3,"When leaving old northam rd to enter great eastern highway heading west you need to cross two lanes and then wait in the middle of the highway to try and slip in when there is a break in traffic. Impatient motorists will try and slip in behind you causing all sorts of chaos",116.2646023209,-31.880683246
"Mundaring","Cook St & Evans St, Mount Helena","Vehicles travel over the speed limit",1,"Frequently speeding cars/burnouts over crest of hill, narrow turning in/out of evans plenty of room to make a roundabout to curb both problems. ",116.2104898542,-31.8682712486
"Mundaring","94 & Old Northam Rd, Wooroloo","Little chance to turn/cross traffic",11," Many times I have had near misses to and from work if there are trucks behind me or oncoming and wishing to turn and traffic is heavy the cars braking to turn are often in danger of being wiped out from both directions. It is very unsafe and scary at times. It requires another slip lane at least so that vehicles travelling from the west, wishing to turn left onto old Northam do not back up traffic, forcing cars to swerve around, often into oncoming cars or turning right waiting in the slip lane",116.3276410103,-31.8307532183
"Mundaring","Liberton Rd & Old Northam Rd, Chidlow","Tight curves or blind crests",1,"There is limited to no signage on Liberton Road when approaching Old Northam Road.  To date we have assisted at four individual incidents where the driver has no realised there is an intersection and they have ended up across the road either in the ditch or hitting the trees - lucky no one has suffered any severe injuries so far but really is only a matter of time.  I believe a roundabout at this intersection would alleviate these issues",116.2729239464,-31.8563500535
"Mundaring","94 & Old Northam Rd, Sawyers Valley","Tight curves or blind crests",0,"There are several issues with this intersection. When exiting Old Northern Road and heading west on Great Eastern Highway the oncoming traffic from the east is travelling fast and difficult to see. Also it's hard to ascertain which lane they are in. In the morning the sun is blinding and the traffic is coming out of the sun. And this whole intersection area is frequently covered in fog in the winter making it even more hazardous.",116.2645560031,-31.8803628603
"Mundaring","27-35 Talbot Rd, Swan View","Poor road surface quality",0,"Poorly maintained road surface. Bitumen cracking and the road rattles as you drive over.",116.0522961617,-31.8829874594
"Mundaring","94, Chidlow","Poor road surface quality",0,"Great Eastern Highway is notorious for large trucks and narrow roads, with poor or deteriorating road surface. They keep patching it but it really needs to be double laned with separator from the Lakes to past Northam turn-off. Your stupid map makes me nominate Chidlow when I am nomination the Great Eastern Highway from the Lakes to past Northam.",116.29302978520006,-31.8857204671
"Mundaring","94, Wooroloo","Tight curves or blind crests",1,"Truck roll overs for west bound trucks",116.331911087,-31.8269611659
"Mundaring","Great Eastern Hwy & Hardey Rd, Glen Forrest","Area requires lights/roundabout",0,"To my knowledge here have been multiple accidents at this intersection including two deaths",116.1040306091,-31.904011311
"Mundaring","502 Great Eastern Hwy, Beechina","Poor or no road lighting",0,"The area between the Lakes and Northam is very windy and dark at night. There are a lot of heavy trucks and the road is narrow. There are regular accidents on this stretch of road.",116.3203239441,-31.8656036321
"Mundaring","94, Wooroloo","Narrow road, lanes or bridges",0,"The road is inadequate for the big heavy, long trucks and semi-trailers that use this Great Eastern Highway. Its too narrow.",116.3404083252,-31.8273987183
"Mundaring","Helena Valley Rd & Midland Rd, Helena Valley","Little chance to turn/cross traffic",8,"Turning right from Midland Road to travel EAST on to Helena Valley Road",116.0165476799,-31.9111335548
"Mundaring","Helena Valley Rd & Scott St, Helena Valley","Unsafe or poor pedestrian crossing",3,"At peek times this intersection becomes congested and has very high numbers of traffic. It is used as a rat run to bypass Midvale to get to Great Eastern Highway bypass. This with its close proximity to the school causes issues with children trying to cross roads.   I have had numerous close calls with traffic emerging from Scott St and crossing in front off me or having to brake hard. People assume you will turn into Scott St do pull out. I have seen many close calls.",116.0468914715,-31.9228597598
"Mundaring","3, Helena Valley","Area requires lights/roundabout",1,"Desperately needs lighting due concrete barriers being hard to see during night time.",116.0165369511,-31.9077774255
"Mundaring","Bailup Rd & Burma Rd, Bailup","Speed limit too high",0,"People drive very fast on both Bailup Road and Burma Road, and we often hear how people slide towards the intersection of Burma towards Bailup as they try to stop in time. Bailup road is very narrow (especially close to Wundowie), hilly and lined with trees. We often have to swerve onto the gravel verge of the road when passing a vehicle from the front because of the vehicle's high speed and tendency to drive in the middle of the narrow road - a dangerous and scary experience!!!",116.3084793091,-31.7583856746
"Mundaring","Bailup Rd, Wooroloo","Poor road surface quality",0,"Burma Road leading towards Wooroloo needs urgent re-surfacing. The road is very narrow and in poor condition.",116.3099384308,-31.7979322213
"Mundaring","94 & Leather Grn, Sawyers Valley","Other",0,"Vehicles banked up in Sawyers Road whilst attempting to enter Great Eastern Highway. With heavy traffic flow on GEH leads to risk taking to enter.",116.2042164803,-31.9035194733
"Mundaring","18 Myles Rd, Swan View","Hazardous roadside objects or trees",3,"If entering the roundabout from Dalwood Road, the sight lines to the right are impossible because when they installed the roundabout they've put up a colourbond fence so close to the road that you can't see cars approaching from Myles Road. Major concern is that people are coming down a hill and don't slow down, but race through the roundabout.",116.041559279,-31.8839599639
"Mundaring","94, Wooroloo","Tight curves or blind crests",1,"Deaths and crashes on this area",116.3308382034,-31.8273075617
"Mundaring","94","Other",0,"greenmount hill has only 2 lanes. it is the main road to the east but is co0mnstantly clogged with heavy lorries and many wide loads which are impossible to overtake and cause major hold ups and cause much anger and frustration",116.0973358154,-31.901461013
"Mundaring","3230-3320 Riley Rd, Stoneville","Narrow road, lanes or bridges",0,"Narrow, winding road with very steep curbs, lots of trees either side. Other motorists often speed. Very dangerous at night. Would be terrible for cyclists if the heritage trail wasn't alongside it. ",116.1678171158,-31.8789424596
