Perth Metropolitan Area,Location,Main risk,Supports,Description,Longitude,Latitude
"Stirling","10-24 Beryl St, Balcatta","Vehicles travel over the speed limit",0,"Although speed-bumps are in place, because of the type of speed-bump they have little to no effect on most vehicles. Bumps need to be replaced to be full width and larger as it is not uncommon for vehicles to hoon through here at 70km/h on a quite residential street.",115.8218193054,-31.8775120898
"Stirling","69-91 Jones St, Stirling","Poor or confusing signage",0,"There are one or two signs saying 'Remember 50km/h in built up areas'. However these are easily ignored and most people on the road would travel in excess of 60km/h. They need to put in 50km/h speed limit signs continuously along the street.",115.8155751228,-31.8827597051
"Stirling","11-33 Alumni Ter, Churchlands","Vehicles travel over the speed limit",1,"The road is used as a short cut between Empire Ave and Pearson St. Cars almost always travel at the same speed as on those main roads. The street is a small local street and is alongside a park and close to many schools, I have seen many many times families try to cross the road only to have a speeding car approach before they expect. It�۪s only a matter of time before someone gets injured. The street is also frequented by many heavy vehicles (trucks, semi-trailers) as there is no other quick way",115.7920575142,-31.9240469079
"Stirling","1-5 Minilya St, Innaloo","Other",0,"The road contains several pinch points, including one near the intersection. Cars frequently have near misses as they come onto Minilya Street from Odin Road.",115.796391964,-31.8964808969
"Stirling","76 & Jeanes Rd, Karrinyup","Other",1,"Right hand turn from Jeannes Rd onto Karrinyup road needs a turn arrow. Drivers assume they have right of way over cars exiting Karrinyup shopping centre.",115.7758569717,-31.8775212005
"Stirling","De Grey St & Dongara St, Innaloo","Confusing layout",2,"There is a flat roundabout at the intersection which is an odd shape. It is very confusing as to what you are meant to do and most cars simply drive over it which makes giving way difficult.",115.7990795374,-31.8984620453
"Stirling","Beatrice St & Shaw Rd, Innaloo","Confusing layout",0,"The road reduces to one lane between Thor St and Beatrice St but there are no signs to indicate who is allowed to drive on this section of road. I have even seen police cars get caught here with one car having to reverse to free up space on the road.",115.7940369844,-31.8941353443
"Stirling","47-53 Oswald St, Innaloo","Other",0,"There is a pinch point located right before the roundabout. Cars get confused because people coming off the roundabout need to enter the pinch point at the same time that people entering need to. It is very difficult to keep track of everything here.",115.8000773191,-31.8993911209
"Stirling","King George St & Odin Rd, Innaloo","Area requires lights/roundabout",0,"There is so much traffic trying to turn between King George St and Odin Rd that motorists often perform risky manouvers. It is compounded by the recent closure of the Odin Rd entrance onto Beatrice St. There is also a pedestrian crossing on Odin Rd which requires people to monitor traffic on both roads. I have almost been hit by cars as a pedestrain several times here.",115.7959038019,-31.8974145469
"Stirling","1-15 Drysdale St, Innaloo","Confusing layout",0,"There are several sections of the road where it reduces to one lane. Not clear who has right of way in these circumstances.",115.7977437973,-31.8984233336
"Stirling","25-33 Dongara St, Innaloo","Confusing layout",0,"The road contains several combinations of traffic slowing devices, including pinch points and lane narrowers. It does not slow down the traffic but actually increases speed as motorists are frustrated at not being able to drive in a straight line.",115.7992458344,-31.8972483123
"Stirling","King George St & Thor St, Innaloo","Poor or no median strip",0,"Cars turning right from King George St onto Thor St often cut the corner, even when there is a car present. Recent introduction of painted line has not solved the issue.",115.7946646214,-31.897366726
"Stirling","Boronia St & Phillips Grv, Innaloo","Other",0,"Cars travelling on Phillips Grove frequently ignore the stop sign posted at the intersection. There are also numerous cars parked on Boronia St which makes it difficult to see oncoming traffic.",115.7914942503,-31.8962850569
"Stirling","64, Innaloo","Little chance to turn/cross traffic",0,"Cars want to turn right into the far lane of Scarborough Beach Road. There are too many cars on Scarborough Beach road for this to be safe and often the road is blocked up by people attempting it. It should be made illegal to do this from here,",115.7978403568,-31.9023877812
"Stirling","64 & Liege St, Innaloo","Poorly timed traffic light system",0,"The lights do not stay green long enough for cars turning right from Scarborough Beach Road onto Leige Street. Several cars go through the red light each cycle.",115.7984143496,-31.9026929068
"Stirling","64, Innaloo","Poorly timed traffic light system",0,"The lights do not stay green long enough for cars turning right from Scarborough Beach Road onto Odin Road. Several cars go through the red light each cycle.",115.7960432768,-31.9016409024
"Stirling","64, Innaloo","Poorly timed traffic light system",2,"With the traffic for Ikea and the shopping centre traffic there needs to be more lanes, for the motorist turning right at the lights onto Cedric Street. ",115.8026683331,-31.8938597948
"Stirling","56, Mirrabooka","Other",0,"I was in a car accident coming off Reid Hwy onto Alexander Dr and another car coming from my right had run a red light and T-boned me. My car was written off due to this incident. It would be helpful if there were warning lights before coming to the intersection. On many occasions I have witnessed aftermaths of car crashes happening in that area.",115.87824761870006,-31.867414600500002
"Stirling","1-5 Flynn St, Churchlands","Little chance to turn/cross traffic",0,"The Herdsman sees quite a bit of vehicle traffic.  Combined with structure of the entrance, the lack of parking and the general street structure makes for a risky location.  The media strip needs to be closed, and a roundabout installed West of the shops in order to allow people to enter and exit only while traveling west (and then use the roundabouts to get access to the shops.  Traffic comes from too many directions.",115.8018636703,-31.9310993102
"Stirling","Central Ave & Clifton Cres, Inglewood","Unsafe or poor pedestrian crossing",4,"This intersection hits peak risk during the mornings and afternoons, when drivers are commuting to work and pedestrians are trying to cross the intersection to travel to school. There is an attendant who tries to aid pedestrians but the site if difficult to cross for all. It is a frequent occurrence for both other cars and pedestrians or cyclists to be hit.",115.8788725734,-31.9222780314
"Stirling","Hamer Pde, Inglewood","Poor/no pedestrian access/footpath",3,"This should not be a roundabout. It is extremely difficult to cross as a pedestrian or wheeled pedestrian. It divides the greenways and makes it difficult to access the park and the high school",115.8763486147,-31.9200537973
"Stirling","53 & Tenth Ave, Inglewood","Area requires lights/roundabout",2,"accidents at least once a month",115.8864793181,-31.9210031443
"Stirling","Beaufort St & Crawford Rd, Inglewood","Little chance to turn/cross traffic",0,"Frequent car crashes here (inc some very serious ones). Because there is not sufficient room the stopping lane in the center of the intersection for cars turning onto Beaufort st from Crawford Rd, if a car stops in the centre of the intersection waiting for traffic to pass before completing turn onto Beaufort st, then the front & back end of the turning car waiting in the middle of the intersection hangs out in both directions of oncoming traffic of cars travellings straight down Beaufort St. ",115.8891642094,-31.9188517324
"Stirling","Bennion St & Mettam St, Trigg","Distraction issues",0,"People do not understand what a no standing sign means and park illegally reducing visibility at the intersection",115.7538896799,-31.8718222804
"Stirling","Beaufort St, Inglewood","Unsafe or poor pedestrian crossing",3,"Cars, buses and trucks  running red light at pedestrian crossing. Cars being rear ended. Pedestrians at risk of being hit.",115.885835588,-31.9213947187
"Stirling","56 & Light St, Dianella","Narrow road, lanes or bridges",1,"Turning from Light street right onto Alexander Drive is the issue. Road is narrow and hard to see oncoming traffic when turning right. Needs to have a light signal in the middle",115.8735966682,-31.8833700853
"Stirling","Corbett St & Stewart St, Scarborough","Vegetation/objects block visibility",0,"the road has cars parked on both sides so makes it hard to see vehicles coming",115.7705891132,-31.9012970628
"Stirling","136 Rosewood Av, Woodlands","Little chance to turn/cross traffic",7,"Morning traffice from Rosewood Ave onto Pearson is very heavy and very challenging to exit Rosewood safely.",115.7972878218,-31.9106326478
