Perth Metropolitan Area,Location,Main risk,Supports,Description,Longitude,Latitude
"Vincent","Scarborough Beach Rd, Mount Hawthorn","Little chance to turn/cross traffic",60,"Drivers from Green St get impatient waiting to cross the oncoming traffic onto the eastbound section of Scarborough Beach road and often take risky actions by driving across when there is not much space, and then pushing into traffic to get to the left hand lanes.  I live locally so often see risky behaviour here.",115.8287340403,-31.9144508568
"Vincent","395-397 Charles St, North Perth","Unsafe or poor pedestrian crossing",4,"Between Vincent St and Walcott St, this is a very dangerous road, there are many car, bike and motorcycle incidents and dangerous pedestrian crossings. There are no pedestrian bridges or underpaths causing pedestrians to take unnecessary risks to cross through heavy traffic. Not acceptable considering this is a major artery in/out of the CBC.",115.8513803141,-31.9243925053
"Vincent","Loftus St, Mount Hawthorn","Tight curves or blind crests",2,"nearly taken out daily by cars driving over two lanes to go through that dogleg type road",115.846222043,-31.9247662868
"Vincent","61 & 72, Leederville","Poor road markings or no edge-lines",2,"The right turn facing north on Loftus has a very tight turn lane marking. The line extending forward isn't even a car length before turning right. So cars in left turn end up cutting across you!  The line needs extend at least another 2 metres forward before turning.. To give the right turn lane a chance to move before being cut off. ",115.8465748516,-31.936496836
"Vincent","56, Menora","Confusing layout",9,"Whoever designed this merging lane after coming through a major intersection needs their qualifications (if any) revoked. Incredibly dangerous road layout with very poor signage and nowhere to go if the guy next to you doesn't realise that the lanes merge. It is seriously a nightmare. I try to avoid it at all costs but maybe that was the idea. It must be a nightmare to live in the area with horns going and tyres squealing every day.",115.8596894145,-31.9241220332
"Vincent","75 & Guildford Rd, Mount Lawley","Tight curves or blind crests",2,"",115.8770138025,-31.9385062541
"Vincent","391-391 Fitzgerald St, North Perth","Poor or no provision for cyclists",0,"Too busy and too narrow for cyclists and cars to share this section of road.  Puts everyone at risk!",115.8589786291,-31.9325629915
"Vincent","66, East Perth","Poor or no provision for cyclists",0,"I was hit by a car here and had to go to hospital. I have had several near misses, some even malicious. It is poor design. Cars exiting the E Perth train station car park must cross over the bike path with cyclists passing from both the NE and SW before entering onto East Parade. Drivers are too often focused on the cars and not on the cyclists. I believe this location was identified as a major bike accident hotspot for hospitalisations, but not much has been done except for some paint.",115.8779579401,-31.9431540685
"Vincent","Powis St, Glendalough","Distraction issues",0,"Main problem is cyclists turning right off the bike path slipway onto the Powis St bike path and cutting across to the right hand side of the path around a blind corner. Has been work done here to try and help, but some people are just stupid!",115.82740366460001,-31.921610994500014
"Vincent","1 Federation St, Mount Hawthorn","Poor road surface quality",0,"Blind corner, narrow path, tree roots, sand patches. Intersection nearby. I have reported this to main roads but nothing has been done. I had an accident here that required hospitalisation. It is very dangerous.",115.8311748505,-31.9267422733
"Vincent","Beaufort St & Walcott St, Mount Lawley","Little chance to turn/cross traffic",7,"indadequate view of opposite traffic if you are wanting to turn left or right. It's impossbile",115.8721375465,-31.9345911645
"Vincent","Walcott St & William St, Mount Lawley","Other",0,"I live on the corner and sometimes i see a crash every week or 2. I have no idea why it is such a problem, it seems like a normal right angled t junction on a straight road with good lighting and signals. I imagine,  distractions INSIDE the cars.",115.8673810671,-31.9304606738
"Vincent","51 & Harold St, Mount Lawley","Little chance to turn/cross traffic",0,"Multiple TAs , corner of lord and Harold street culminated in a cars crashing through front brick walls and hitting houses on two recent occasions. Secondly, it is a Main Roads WA black spot, and thirdly the City of Vincent and state member for perth, John Carey support closing the intersection by continuing the centre island on Lord street to stop all turns across Lord street from Harold street east and west. And Lord street north and south. Please will RAC also support this?",115.87587654590003,-31.940158736100006
"Vincent","137 Vincent St, Perth","Speed limit too high",3,"Speed limit is 60 but then the council installed speed humps to reduce speed!  Single lane each way with street parking next to a very popular park.  Limited visibility of people, especially children due to parked cars.    Speed limit needs to be reduced to slow the overall speed of vehicles in the section of Vincent Street between Ethel & William Streets.",115.8624494076,-31.936557835
"Vincent","75, Osborne Park","Other",2,"There exists a perfectly good on-ramp to the freeway which is restricted to buses and taxis only located between the car dealership and Glendalough train station. This should be opened up to traffic and thus reduce the congestion at the intersection of Scarborough Beach Road and Harborne Street as well as the intersection of Harborne Street and Powis.",115.8237719536,-31.9143575095
"Vincent","66, East Perth","Confusing layout",2,"Motorist often turn in the incorrect lanes causing a high volume of near missed with vehicles. Signage is clear with directions if motorist actually read it but there is only 1 sign and could use more detail.",115.8766114712,-31.9471552796
