Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"North Bannister","30, Mount Cooke","Poor road surface quality",5,"Albany Hwy Bedfordale Hill to Crossman - Severe need for major maintenance or even duplication - aka Forest Hwy. Large, long, laden and vehicles that are towing, in fact any vehicle, is able to maintain consistent economical cruising speeds and risk overtaking mining equipment, rubbish trucks, caravans and coaches. Hwy regularly closed due to fires and crashes. Bends on crests, many small crests. It's a major spine through the Great & Upper Great Southern feed by many arteries.",116.26789212230001,-32.39678555420001
"Ashendon","30, Ashendon","Poor road surface quality",5,"There is a good 2k strip that runs threw a few s bends where pretty much the whole road is pot hole ontop of pot hole. Almost have to drive off the road to avoid them easily 200-300 poor patches within the strip very poor quality and rather rough bumpy strip",116.16742139220005,-32.27160567060002
"Beechboro","3 & 53, Beechboro","Confusing layout",17,"It is a temporary dual lane roundabout while NorthLink is being built, but the layout is really confusing with both lanes able to continue straight and poor lane markings. I've seen a tonne of near misses in the short time the roundabout has been there.",115.9247303009,-31.8622139504
"Thornlie","Spencer Rd, Thornlie","Other",2,"This intersection is notorious for vehicles running red lights.  They constantly fail to slow for the amber lights and the go through when the red is showing. The give way lanes often have vehicles fail to adhere to the give way sign.  They try to beat cars coming through the lights and vehicles behind other vehicles at the give way line fail to look in front of them before taking off and often hit hte car in the rear.",115.970928669,-32.0661490657
"West Perth","George St, West Perth","Poor road markings or no edge-lines",0,"I frequently see cars reversing up the freeway on-ramp as they have inadvertently chosen the incorrect lane due to poor road markings and signage. Reversing up the on-ramp is an obvious risk to other vehicles.  This particular lane lacks road markings indicating it is for Freeway South only. Motorists select this lane thinking it is a right turn lane for Murray street. When realising their error then reverse up the on/off-ramp in order to get into the correct lane.  An accident waiting to happen",115.8489176631,-31.9499023128
"Iluka (WA)","Shenton Ave, Iluka","Poor or no provision for cyclists",0,"Marmion Avenue is an 80km/h zoe and western side of Shenton Avenue is 50 km/h, eastern side is 70km/h. This is a dual lane roundabout, with no areas for cyclists to safely pass. The pedestrian crossing on the northern side of the roundabout is very close to the roundabout itself. As cars are travelling fast through the roundabout (especially when continuing on Marimion), it leaves very little time for pedestrians or cyclists to safely cross the road. ",115.7380914688,-31.7431772793
"Perth (WA)","5, Perth","Poor or no provision for cyclists",2,"Pedestrian/cyclist path crossing from under the Narrows Bridge to change direction of travel (e.g. if coming from the City to UWA). This road is very busy during peak hour traffic and the crossing is very close in proximity to the roundabout. There is a blind spot as the cars come through the roundabout and turn left (as coming from Mounts Bay Road). Quick decisions need to be made by cyclists/pedestrians to cross during peak hour.",115.8478689194,-31.9622026432
"Tapping","359 & Nambi Pkwy, Banksia Grove","Little chance to turn/cross traffic",3,"",115.8044600487,-31.7107998062
"Como (WA)","1, Como","Little chance to turn/cross traffic",7,"Coming off the freeway, on the Manning Road exit has safety issues with traffic getting on the freeway from the Canning Road on ramp. Many near misses with cars not giving way ",115.8571815491,-32.0112260072
"Palmyra (WA)","Canning Hwy & Murray Rd, Bicton","Tight curves or blind crests",1,"The intersection crosses onto Canning Highway and its hard to see oncoming traffic plus there is a gradient so you really have to accelerate hard in case there is a car coming up the hill at 60kms. There seems to be lots of near misses and collisions as there are often smashed tail lights on the ground.",115.78997612,-32.0351832966
"Beechboro","94 & Scott St, Greenmount","Little chance to turn/cross traffic",1,"I have seen many near misses at the intersection. Turning from Scott street onto the highway is dangerous as there is a mix of cars and trucks coming down the hill.",115.9485054016,-31.8650204699
"Golden Bay","10 Perrinvale Loop, Golden Bay","Confusing layout",3,"Heading up Dampier Drive to Warnbro Sound Av from the beach it goes from a single lane road through a two lane road (Warnbro Sound Av), then a single lane road (Taincarrow Rd - not on map) back into a two lane road as Dampier Dri continues on to Mandurah Rd. People pulling in to Dampier Dr from Taincarrow have no idea which lane people are going to go around the roundabout it.",115.7656699419,-32.4234150222
