Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Bassendean (WA)","Alexander road and Orrong road Carlisle","Little chance to turn/cross traffic",0,"Traffic cutting infrout of heavy traffic to  make a right hand turns",115.9555297927,-31.9087346549
"Bassendean (WA)","James St & Palmerston St, Bassendean","Poor or confusing signage",0,"Vehicles constantly run the stop signs on Palmerston St, crossing or turning onto James St. James St has a crest that blocks visibility of vehicles travelling north towards Palmerston St. I have lived near the intersection for 4 years and seen multiple accidents and near misses, including vehicles almost hitting  buildings and pedestrians. I think rumble strips or speed bumps on Palmerston St would make drivers slow down as they approach the stop sign.",115.9502649307,-31.9064567983
"Bassendean (WA)","PSP road crossing at Collier Rd/Guildford Rd intersection.","Inadequate rest or stopping areas",1,"It is a busy crossing with poor visibility, lack of space and is often blocked by cars and trucks ",115.9425643086,-31.9075474555
"Bassendean (WA)","51 & Old Perth Rd, Bassendean","Poorly timed traffic light system",0,"Pedestrian vs vehicle hazard for pedestrians crossing from the south cnr of Old Perth Rd across Guildford Rd toward the train station. When a vehicle is travelling City-bound and encounters a yellow light change that they cannot safely stop for, the driver's safest course of action is to continue through the intersection at a safe speed. It appears that the yellow light timing is not long enough for this, and the car barely clears the end of the intersection as the pedestrians start crossing. ",115.9472930431,-31.9038063789
"Bassendean (WA)","51 & Thompson Rd, Bassendean","Tight curves or blind crests",0,"NOTHING INDICATES Success Hill Rail Station is Immediately up the road, across the road from the Bassendean Oval.  Motorists on Cruise Control need Advance Warning signs to alert them to possible commuting Pedestrians crossing.",115.9559512138,-31.9018435622
"Bassendean (WA)","15 Nurstead Av, Bassendean","Narrow road, lanes or bridges",0,"If Right Turning Lane from Guildford Road into North Road and  Caltex had an Exclusive Right Turn Pocket, it would allow space for an Exclusive Right Turn Safe Pocket OUT of North Road.   The added benefit would be the merging of left and right Through Lanes - to the Bridge, sooner, also creating space for On Road Cyclists to use S line and Safely Crossover to P.S.P  Merging  traffic  before  Thompson St, calming @ 40kph as it  passes  GUILDFORD RAIL STATION    saw Safe Disabled Van Smashed.",115.9572440386,-31.901073908
"Bassendean (WA)","Collier Rd & Railway Pde, Bassendean","Confusing layout",0,"Watched an Innocent person - second vehicle stopped half under the BOOM as it Bounced up and down off the Bonnett and Roof of car.  It was IMPOSSIBLE to judge what the safe distance was in her low sedan, and not familiar with the intersection. - Sign SAYS 7m.  Please Move Traffic Lights back BEFORE the Rail Line..not Trapping Cars After the line, or On the line..",115.9423148632,-31.9075178554
"Bassendean (WA)","11 Geraldine St, Bassendean","Narrow road, lanes or bridges",0,"Left Turning Lane needed for Left Turning Traffic crossing Rail Line..- as a Through Left side driver, like MANY OTHERS, we change to Right Lane, through this intersection so not to Hold Up or be trapped behind Left Turners..- then need to move Left Lane immediately to avoid Right Turners into  Palmerston St..-  Shackleton St traffic has difficulty crossing to Collier Road, and the Left Lane would Greatly Benefit that Local Community who need ACCESS too...RAC Member 30 years..",115.94405293459997,-31.907645363600018
"Bassendean (WA)","51 & West Rd, Bassendean","Vegetation/objects block visibility",0,"WEST Rd/OPRD inter-sn. Heading  North or East   from Old Pth Rd onto West rd cannot see traffic heading North on West Rd as bank bldg blocking West rd view until last seconds.",115.9541273117,-31.9027361708
"Bassendean (WA)","Collier Rd & Iolanthe St, Bassendean","Little chance to turn/cross traffic",0,"I think a roundabout would be a good idea at this  intersection .",115.9414243698,-31.9058420171
"Bassendean (WA)","Fisher St, Bassendean","Poor road markings or no edge-lines",0,"",115.9420841932,-31.914915315
