Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Capel","10 & Tuart Dr, Capel","Lacks median strip/traffic separation",9,"The lack of dual lanes from Capel to Busselton makes Bussell Highway one of the most dangerous road in WA. 2 fatalities in 12 months on this road and many other lucky escapes. The route to the #1Tourist destination in the state should be safer and dual laned.14000 people use this road daily at 110kph, many travel to and from work, single lanes with slow moving trucks or tractors during peak can make the trip from Bunbury/Busselton double in time from 30 min to 1 hour.",115.5248236656,-33.5762806494
"Capel","Bussell Hwy, Capel","Lacks median strip/traffic separation",4,"",115.5325609179,-33.5685327295
"Capel","Capel Dr, Capel","Narrow road, lanes or bridges",0,"Traffic build up especially during holiday seasons, car roll overs, car crashes, opposite traffic drifting over to my side of the road at 110kms an hour.",115.5614948273,-33.5424319746
"Capel","2890-2890 Bussell Hwy, Capel","Narrow road, lanes or bridges",2,"Too many crashes and near misses on bussel hwy between capel and busselton. This is the route I use every day for work. Dual lanes please. Peoples lives are worth it. We have seen too many deaths on that stretch of road this year. A lot of inexperienced  country drivers use this road going down south from Perth. I see lots of aggressive driving, tailgating and overtaking.",115.5280674608,-33.5721541909
"Capel","1441-1441 Bussell Hwy, Capel","Narrow road, lanes or bridges",3,"Multiple crashes here and near accidents due to merging from dual carriage way to single lane with no median strip",115.5424172489,-33.5609946768
"Capel","1441-1441 Bussell Hwy, Capel","Narrow road, lanes or bridges",1,"I have experienced multiple deaths on this road, an excessive amount of hospitalised drivers/bike riders etc even just in the last year. ",115.5429285765,-33.5605649272
"Capel","10 & Spurr St, Capel","Lacks median strip/traffic separation",2,"",115.5500460591,-33.5548365117
"Capel","Bussell Hwy, Capel","Lacks overtaking opportunities",11,"Single lane hgy that should be dual lanes.Many accidents. Many stupid moves.",115.52803158760001,-33.57324142689999
"Capel","Bussell Hwy, Capel","Poor road surface quality",0,"Multiple near misses and poor road condition",115.5363283712,-33.565275205
"Capel","3-3 Bussell Hwy, Capel","Lacks median strip/traffic separation",3,"I have almost been hit by oncoming cars recklessly driving on this ridiculous single lane layout. I have seen many other cars fail to merge in time and fail to overtake safely. It is frightening driving this road every day and something needs to be done, before more people die. ",115.5360031128,-33.5648561933
"Capel","Tuart Dr, Capel","Vehicles travel over the speed limit",1,"",115.5248451233,-33.5758694668
"Capel","3-3 Bussell Hwy, Capel","Other",0,"Confusion and hold up with tourist season and long weekends. Road rage with delays. Confusion at capel with duel lanes and numerous exits and enteries",115.5311260186,-33.5650384137
"Capel","Bussell Hwy, Capel","Lacks overtaking opportunities",6,"The road surface is very rough, making vehicles bounce around and at any point, particularly long weekenda the traffic bottle necks out of the dual carriage way, making it dangerous when drivers get impatient and attempt to overtake, even on double white line. The area really needs to be made in 2 lanes each way to make it safer, and the road needs to be pulled up and relaid. ",115.5283214148,-33.572097645
"Capel","Bussell Hwy, Capel","Lacks median strip/traffic separation",12,"Numerous collisions and more than one fatality.",115.5298805228,-33.5717762553
"Capel","10 & Yeardy Rd, Capel","Little chance to turn/cross traffic",0,"I find this road/intersection all along capel-Busselton is extremely dangerous. Has already been too many accidents along this road and it just seems as if it will keep happening if nothing is done to fix it.",115.5748093128,-33.5113521176
"Capel","10, Capel","Other",0,"Bussell highway between Busselton to Capel. 143 crashes, 4 fatalities and 15 hospitalisations just this year. An unnecessary danger to the community.",115.5770020396,-33.5044029705
"Capel","James Rd, Capel","Lacks overtaking opportunities",0,"Needs to be dual carriageway.",115.5631205393,-33.5354922412
"Capel","10, Capel","Other",0,"Unexpected risks of vehicles moving out onto on coming traffic on HWY 10 from more than one exit from Capel.",115.5528259277,-33.5519817554
"Capel","Bussell Hwy, Capel","Lacks median strip/traffic separation",3,"People overtaking! We need dual lanes from Capel to Busselton",115.5273234844,-33.5728838642
"Capel","Bussell Hwy, Capel","Narrow road, lanes or bridges",0,"Bussell hwy from Busselton to Capel, urgently need more lanes! So many accidents due to too much traffic. More lanes needed. My husband is BVFRS and gets called to so many vehicle accident rescues. The traffic that travels this stretch of road daily is huge, holidays & long weekend it turns to bumper to bumper chaos.",115.5240914226,-33.5781437528
"Capel","2890-2890 Bussell Hwy, Capel","Narrow road, lanes or bridges",0,"I'm terrified every time I travel on this road and avoid driving to Perth from Busselton unless absolutely necessary. There have been waaaay too many accidents here.",115.5297374725,-33.5706490642
"Capel","Bussell Hwy, Capel","Lacks overtaking opportunities",0,"I drive on this section of road daily and have witnessed so many crashes and dangerous situations. The road between Capel and Busselton must be upgraded to a dual highway.",115.5419254303,-33.5599569806
"Capel","2890-2890 Bussell Hwy, Capel","Other",0,"Confusion over Sudden change of Bussell hwy from 2 lanes in north and south directions to 1 lane. Limited overtaking opportunities plus narrow bridges. Speed limit needs to be reduced until this section is made a double lane. Multiple fatalities in this area in recent years",115.5272483826,-33.5728659861
"Capel","Bussell Hwy, Capel","Narrow road, lanes or bridges",5,"The amount of traffics that travels this highway on a daily basis is increasing.  Friday afternoons and weekends are atrocious traffic use triples.  Lots of impatient drivers doing very stupid and dangerous driving.  Traveling to close, over taking in unsafe situations, pulling out into traffic doing 110 from side roads.  There have been fatalities and shocking accidents on this section of highway.   Holidays/long weekends traffic comes to a holt between Busselton and Capel due to volume.",115.52364349370006,-33.57987394510002
"Capel","Spurr St, Capel","Hazardous roadside objects or trees",0,"Powerpole too close to tight bend in the road",115.5536305904,-33.5572837529
"Capel","10, Capel","Other",0,"The section of Bussell Hwy between Capel and Busselton is single lane and with the 110km speed limit it makes it very hard for cars to get out of side roads safely and with only a few overtaking lanes and slower moving cars, other cars get impatient and drive on the wrong side of the road to overtake them, sometimes only narrowly missing on coming traffic. ",115.5482230816,-33.5567074654
"Capel","1-7 Goodwood Rd, Capel","Tight curves or blind crests",0,"Bend too tight, trucks and other cars constantly going over centre line when using it, risking collision with oncoming vehicles.",115.5610334873,-33.5579006589
"Capel","Bussell Hwy, Capel","Narrow road, lanes or bridges",0,"Should be dual carriageway from Capel to Busselton",115.5349731445,-33.5671447813
"Capel","2833-2833 Bussell Hwy, Capel","Lacks overtaking opportunities",1,"From Capel to Busselton it changes from dual road to over taking lanes and narrow stretches before dualling before Bsn.again. Can quickly be choked with impatient traffic.",115.5294799805,-33.5780147461
"Capel","3-3 Bussell Hwy, Capel","Poor road surface quality",0,"Traffic jams in holiday times up to 40 to 60 mins wait two lanes into one.",115.5335744773,-33.5642559771
"Capel","1441-1441 Bussell Hwy, Capel","Inadequate rest or stopping areas",0,"Most days the single lanes are congested between Busselton and Capel. Many accidents have been evident over the last 10 years.",115.5422258377,-33.5604218813
"Capel","Bussell Hwy, Capel","Lacks overtaking opportunities",0,"Should be duel carriageway between Capel to Busselton",115.530166626,-33.5717217754
"Capel","10, Capel","Poor road surface quality",0,"",115.5258321762,-33.574117449100015
"Capel","137-137 Halls Rd, Capel","Lacks median strip/traffic separation",0,"The road between Capel and Busselton is hazardous for a number of reasons. One is the lack of dual carriageway. The other is that weekends and holidays the road becomes very busy and accidents frequently occur.",115.5487060547,-33.5368160677
