Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Kwinana Beach","Mandurah Rd & Office Rd, East Rockingham","Area requires lights/roundabout",6,"During peak hours there are multiple crashes here due to Train line backing up well past the intersetion blocking views from people turning right. Main traffic files in from the Left and people at the turn block the vision.",115.7821655273,-32.2500198242
"Kwinana Beach","Office Rd, East Rockingham","Area requires lights/roundabout",1,"",115.7709163427,-32.2500288979
"Kwinana Beach","1, Kwinana Beach","Confusing layout",0,"This section of the road here has many sets of traffic lights that are very confusing. because it seems that you are able to stop in a very tiny space just before Mason Road.Also it seems that when the traffic lights goes green for vehicles to cross over from Mandurah Road into Patterson Road, vehicles that were already stopping in Patterson road (heading north) sometimes thought that the green was meant for them. However, it was meant for the incoming traffic coming from Mandurah Road only!",115.7773590088,-32.2357458148
"Kwinana Beach","1, Kwinana Beach","Poor or no provision for cyclists",0,"while travelling north on rockingham road on my bicycle the cycling lane disapears at the most dangerous section of road, that being on the approach to the traffic lights. Vehicles are forced to slow down or swing out wide as a cyclist comes in to the vehicle lane to get through the intersection and continue north. Some drivers are loath to do this and I have been squeezed over the kerb on numerous occasions. Thanks",115.7873743773,-32.2260803201
"Kwinana Beach","1 & Beach St, Kwinana Beach","Little chance to turn/cross traffic",0,"B Doubles are turning east here from Pattetson Rd. They can not see far enough around the bend to do so. Therefore they turn hoping that nothing will come in the extended amount of time it takes to get around. Cars heading south must come to a stand still whilst the trucks cross the road. It's extremely dangerous at night. B doubles should not be using this intersection.",115.7763488218,-32.2435478317
"Kwinana Beach","1 & Mandurah Rd, Kwinana Beach","Confusing layout",0,"Traffic coming off Mandurah Road is still coming thru when the lights turn green on Patterson Road.  People get into the right lane heading south along Paterson Road in the left turning lane and then swerve right to go straight ahead so they dont have to wait for the traffic lights.  the problem is that there are two sets of lights within a few hundred metres.",115.7787322998,-32.2330595457
"Kwinana Beach","1 & Mason Rd, Kwinana Beach","Poorly timed traffic light system",0,"Light are timed too long for Rockingham Rd during peak times. Drivers on Mandurah and Mason Rd become impatient and take unnecessary risks. Mason Rd and Mandurah Rd need to be routed to become lined up. This would allow one set of lights to be removed, less cycling of lights and allow more traffic volume through the intersection with less time.",115.77868402,-32.2320975517
"Kwinana Beach","1 & Mandurah Rd, Kwinana Beach","Confusing layout",0,"There are two sets of traffic lights very close together. One can have a red display and the other about 30 to 50m farther away will be green. A highly dangerous situation if drivers run an amber or red light travelling from Mandurah Rd into Patterson Rd then either continuing on Patterson or swing left into Mason Rd.",115.7786035538,-32.2327328319
"Kwinana Beach","1, Kwinana Beach","Other",0,"Traffic on Patterson Road southbound will not allow merging vehicles to safely join the main flow many accelerate to close a safe entry opportunity",115.7748833299,-32.2448749058
"Kwinana Beach","1 & Mandurah Rd, Kwinana Beach","Poorly timed traffic light system",0,"The traffic lights on  corner of Rockingham Rd and Mason Rd and the traffic lights on corner of Rockingham Rd and Manduarah Road are very close to  each -  withing approx 300 mt of each  other. If a driver wasn't fully focus they may pass through the first lights without realizing that a second set is very near and thereby may inadvertently   ignore the second set of lights",115.7785391808,-32.2324877957
"Kwinana Beach","Thomas Rd, Medina","Narrow road, lanes or bridges",0,"Thomas Road has extremely high volume of trucks and vehicles in places road too narrow",115.7931518555,-32.2263798298
