Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Unknown","Burke Dr, Attadale","Little chance to turn/cross traffic",0,"Since new shopping precinct opened its become very congested and dangerous particularly at peak times",115.8267974854,-31.9946830673
"Unknown","7 & Centenary Ave, Wilson","Confusing layout",1,"Two lanes becomes one at the roundabout",115.9016418457,-32.0223401487
"Unknown","Junction Hester Ave & Mitchell Freeway","Confusing layout",1,"Confusion from drivers not used to road layout and during busy periods it is difficult to cross traffic accessing or exiting freeway",115.5198669434,-31.7538608223
"Unknown","Mounts Bay Rd, Crawley","Unsafe or poor pedestrian crossing",2,"",115.8258399367,-31.9736276165
"Unknown","203, Caversham","Narrow road, lanes or bridges",1,"Bridge is too narrow for the volume of traffic",115.9716796875,-31.8942924754
"Unknown","Dunn Bay Road intersection Cyrillian Way Dunsborough","Narrow road, lanes or bridges",0,"During summer and school holidays standing traffic",116.2628173828,-35.2254287333
"Unknown","515-581 Neaves Rd, Mariginiup","Lacks overtaking opportunities",0,"The potential for tragedy exists, Years ago, there was broken lines indicating it was safe to overtake. As I pulled out, a vehicle merged from a dip in the road. Fortunately, I was not to committed. Drivers are the main traffic risk. Travelling 20km hour under limit, causing traffic to bank up, even on week days. Causes frustration and risks are taken. I have witnessed some risky overtaking.",115.6585693359,-31.6881525824
"Unknown","1 & Egret Pt, Halls Head","Poorly timed traffic light system",0,"You can't see oncoming traffic when you are attempting to turn right from Dower Street onto Pinjarra Road",115.7189941406,-32.5491283809
"Unknown","Indian Ocean Drive - approaching Cervantes turnoff.","Lacks overtaking opportunities",1,"Cars overtaking at risk. Caravans/boat trailers going extremely slow and no opportunity to overtake. Caravans/boat trailers all driving together, often 4 deep.",115.0968933105,-30.5870904715
"Unknown","665-695 Wirring Rd, Cowaramup","Lacks overtaking opportunities",0,"Insufficient width or overtaking lanes from Yallingup Caves Road to Cowarremup.",115.1507497206,-34.4889259187
"Unknown","Crystal Brook Rd & Welshpool Rd E, Wattle Grove","Tight curves or blind crests",0,"People are increasing speed to get up the Welshpool Rd hill. Slip lane is too short for the right hand turning traffic ",115.6764221191,-31.8373160179
"Unknown","1, Halls Head","Narrow road, lanes or bridges",2,"Bridge has only one lane coming back into town which bottle necks the traffic and with the lights changing so quick it takes ages to get anywhere",115.7174491882,-32.5490469879
"Unknown","2-16 Boyup Brook-Kojonup Rd, Mayanup","Poor road surface quality",0,"Tailgatting drivers sitting in behind caravan  passing up hill",114.5983886719,-32.9349286691
"Unknown","Indian Ocean Road","Other",0,"I regularly drive indian ocean road and I believe the road is good but lacks overtaking lanes between Lancelin and Jurien Bay.  Also signs need to be erected pointing out not to pull out from a side road in front of oncoming vehicles.  This has happened to me on many occasions and I have come close to having a serious accident on 3 occasions. Last Monday a car pulled out from Pinnacles in front of me and then turned off at Cervantes.  There was no one behind me!!",115.1257324219,-30.6709907908
"Unknown","Indian Pacific Road","Little chance to turn/cross traffic",0,"Basically the section south of Cervantes is a twisting road whic never allows anyone to pass. I travel it with a caravan and as cars cannot pass me they get impatient and take risks.",115.1037597656,-30.6520900268
"Unknown","GEHWAY","Narrow road, lanes or bridges",0,"G,E,HWAY ALL OF IT, IS TO NARROW.",115.1710510254,-31.9393438796
"Unknown","7, Shelley","Narrow road, lanes or bridges",1,"Leach Hwy having to go from 3 lanes to 2 lanes to cross Shelley bridge in both directions  I have observed on many occasions during the rush hour period in the morning and evening many vehicles being driven aggressively resulting in many near misses and with so many large trucks using Leach Hwy there will be one day a serious accident.",115.901362896,-32.0237045912
"Unknown","Geraldton","Lacks overtaking opportunities",0,"frequent high speed head on crashes and unsafe overtaking",114.9938964844,-30.1166215828
"Unknown","Indian Ocean Drive","Tight curves or blind crests",0,"",115.0103759766,-30.5244132699
"Unknown","Corner progress drive and Bibra drive","Confusing layout",0,"people not seeing cars from North lake road side   Trying to cross over  ",115.5377197266,-31.9381784856
