Suburb,Location,Main risk,Supports,Description,Longitude,Latitude
"Winthrop","1, Booragoon","Unsafe or poor pedestrian crossing",1,"Truck traffic is massively high in both directions. There is no safe crossing point even though the paths end at the roads edge.",115.8290183544,-32.0460012504
"Winthrop","Somerville Blvd, Winthrop","Speed limit too high",0,"Vehicles travelling east and west along Somerville Blvd continue through the roundabout without any reduction in speed. The sight lines are impeded by houses, bushes and walls which allow no opportunity to assess traffic prior to entering the roundabout area.",115.8252632618,-32.0564496615
"Winthrop","Somerville Blvd, Winthrop","Speed limit too high",0,"Vehicles travelling east/west along Somerville Blvd do not slow through the roundabout. There are limited sight lines  and limited to no opportunity to assess traffic prior to entering the roundabout zone. Traffic calming is required to slow vehicles prior to entering the roundabout form both directions on Somerville Blvd.",115.833170414,-32.0595139388
"Winthrop","1, Winthrop","Other",0,"Uneccessary traffic lights causing congestion",115.8224523067,-32.0462149592
"Winthrop","Aitken Dr & Barrett-Lennard Pde, Winthrop","Lacks median strip/traffic separation",1,"Approaching Aitken Dr from Barret Lennard Pde, often find cars coming to turn right onto Barrett Lennard, but not making any effort to be on the correct section of the road. Have had many close calls here. Requires some line markings or island at the end of Barrett Lennard.",115.8213096857,-32.0501525679
"Winthrop","Barrett-Lennard Pde, Winthrop","Poor or no road lighting",0,"Poor (non existant) lighting on the stretch of Barrett Lennard Pde from Aitken Dr to Lourens Dale. Always worry there'll be someone walking at night and I wont see them.",115.8210039139,-32.050843678
"Winthrop","Leach Hwy, Booragoon","Other",0,"Down hill approach to two sets of visible traffic lights which cause visual confussion along with a very heavy traffic load including large numbers of heavy vehicles.  There are rear end collision here most days and tow trucks can be seen waiting around the edges of Booragoon lake every day waiting for the inevitable collisions.",115.8423435688,-32.0460421734
"Winthrop","1, Winthrop","Area requires lights/roundabout",0,"Filtering left from Winthrop Drive is a give way sign. When lights on Leach turn red traffic is filtering right from Leach into Winthrop Drive At the same time this gives traffic filtering  going west on Leach can proceed. However traffic are doing U turns and I personally have had three nearmisses Police are aware of this but cannot monitor it 24/7 and main roads do not want to know What is required is a dedicated traffic light exiting left onto Leach Highway",115.8254671097,-32.0461876772
"Winthrop","1, Winthrop","Vehicles travel over the speed limit",0,"Large trucks on way to Fremantle go through red lights",115.8187294006,-32.0463513688
"Winthrop","1, Winthrop","Vehicles travel over the speed limit",0,"Heavy trucks travelling over speed limit and running traffic lights on orange and into red.  Many poor standard looking trucks. Leach Hwy from Fwy to Stirling Bridge",115.8377838135,-32.0461694893
"Winthrop","1 & Murdoch Dr, Bateman","Vehicles travel over the speed limit",0,"Great danger for traffic turning left or right onto Leach Why from Murdoch Drive. Container trucks run red light. Two recent near misses.",115.8428156923,-32.0469079885
