Federal Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"Brand","10 Perrinvale Loop, Golden Bay","Confusing layout",3,"Heading up Dampier Drive to Warnbro Sound Av from the beach it goes from a single lane road through a two lane road (Warnbro Sound Av), then a single lane road (Taincarrow Rd - not on map) back into a two lane road as Dampier Dri continues on to Mandurah Rd. People pulling in to Dampier Dr from Taincarrow have no idea which lane people are going to go around the roundabout it.",115.7656699419,-32.4234150222
"Brand","56-62 Marillana Dr, Golden Bay","Vehicles travel over the speed limit",0,"A lot of dead wildlife, including kangaroos, bettongs and lizards. Many near misses as hoons speed along the road with disregard of the growing population of young families in the area.",115.7511216402,-32.427272926
"Brand","Palomino Pde, Baldivis","Vegetation/objects block visibility",0,"Entering the roundabout from Palomino parade, I've almost been collected by trucks, 4x4s, and other vehicles speeding north along Baldivis Rd for several years. From Palomino Parade, you just dont have enough visibility of what is travelling North when you come to a stop to assess the intersection.",115.8265775442,-32.346154329
"Brand","29-37 Heritage Park Dr, Baldivis","Vehicles travel over the speed limit",0,"Every night I hear vehicles screaming down the road at speeds that would be well above the speed limit. Occasionally during the day I'll also see the same behaviour. During the day its a huge concern as there are a lot of children living in the homes here. I'm surprised no one has been hit yet.",115.8297264576,-32.3454427979
"Brand","Liddelow Rd & Rowley Rd, Banjup","Little chance to turn/cross traffic",0,"When heading north from De Haer Rd to Liddelow Rd, there is a dog-leg on Rowley Rd. You have to enter left onto Rowley Rd then stop and turn right onto Liddelow Rd. This causes a problem for traffic heading west on Rowley Rd. They have to slow/stop to allow you to turn - there is no room for them to get around you. The road needs to be widened at this point to create a turning lane. Otherwise dangerous!!",115.8889389038,-32.1804434958
"Brand","1 & Royal Palm Dr, Warnbro","Area requires lights/roundabout",36,"At least one crash a week. Cars coming off Ennis ave think they have more time to cross over and often crash into oncoming traffic.",115.7699571846,-32.3493066434
"Brand","Marri Park Dr & Thomas Rd, Anketell","Area requires lights/roundabout",1,"Drivers tale major risks in the morning and and afternoon traffic to either merge onto Thomas road or to turn into Marri park drive with cross traffic going 90kph  School buses dropping off kids on this corning leaving our kids walking on a 90km road or crossing thomas road. Either slow the traffic down or time to put roundabouts or lights on thomas road",115.8704423904,-32.2277775283
"Brand","Thomas Rd, Anketell","Speed limit too high",1,"Very dangerous road for everyone. Crashes every week",115.8841001987,-32.2228582601
"Brand","22 & Baldivis Rd, Baldivis","Confusing layout",4,"Very difficult for vehicles travelling up or down Baldivis Road to cross Kulija Road. The junction is now offset (previously Baldivis Road carried straight on). Vehicles travel too fast on Kulija Road and vehicles are always turning into Baldivis Road (across the traffic) making it near impossible to turn right out of Baldivis Road. There is no safe stopping place in the middle of Kulija Road (once you have crossed the first carriageway) for those travelling up/down Baldivis Road",115.8282136917,-32.2929735006
"Brand","Baldivis Rd & Kulija Rd, Baldivis","Confusing layout",2,"It's just dangerous. Coming onto Kulija from Baldivis Rd - Due to high amounts of traffic in peak periods, it's impossible to turn. Cars pile up at the centre island, making it even worse. ",115.8283498227,-32.2927430629
"Brand","22 & Baldivis Rd, Baldivis","Confusing layout",7,"Impossible to turn. If you wish to continue onto the other side of Baldivis Rd, it's a nightmare. Something needs to be done, especially with new estates being developed in the area. ",115.8287693896,-32.292804999
"Brand","Baldivis Rd & Rivergums Blvd, Baldivis","Little chance to turn/cross traffic",1,"Numerous near misses. Particularly at school peak hour. Sat waiting 8 minutes to turn right at intersection. Traffic doing more than speed limit giving little safe chance to turn onto Baldivis road. Needs a roundabout for a road that services 3 schools.",115.8211108339,-32.3371220031
"Brand","1 & Anstey Rd, Karnup","Other",2,"The turning lane on Mandurah Rd turning right on to Anstey Rd is too short. You cannot stop safely without reducing your speed limit to 80 before entering the turning lane, which forces other traffic to slow down and not be able to maintain the 100km speed limit. Trying to reduce speed after getting into turning lane can cause cars to skid and potentially lose control because part of lane is slippery. Turning lane needs to be longer or anti skid surfacing is required (longer lane preferred)",115.7738828659,-32.4057670845
"Brand","Kwinana Freeway","Vehicles travel over the speed limit",0,"Dickheads on the road tailgating speeding at the same time deliberately traveling to slow in right hand lane making sure you can do speed limit or overtake",115.81993103030003,-32.4112696987
"Brand","Eighty Rd & Sixty Eight Rd, Baldivis","Area requires lights/roundabout",3,"Area is too busy with school traffic for the standard x- insection news to be a roundabout to deal with the banking of traffic and proper parking bays on the side of the road to keep the parents and safe as they get out of their cars and walk to the school",115.7986208495,-32.3669941205
"Brand","Mandurah Rd & Office Rd, East Rockingham","Area requires lights/roundabout",6,"During peak hours there are multiple crashes here due to Train line backing up well past the intersetion blocking views from people turning right. Main traffic files in from the Left and people at the turn block the vision.",115.7821655273,-32.2500198242
"Brand","Office Rd, East Rockingham","Area requires lights/roundabout",1,"",115.7709163427,-32.2500288979
"Brand","2, Baldivis","Other",0,"This off ramp south bound needs to be longer, you have to slow before entering the ramp which is stupid coming off the freeway, all other on off ramps are longer enabling a smoother run up the ramp with out disrupting the flow of traffic travelling behind the car entering the off ramp ",115.8271086216,-32.32554485440002
"Brand","Flinders Ln & Kent St, Rockingham","Confusing layout",1,"Cannot see cars coming when at stop signs",115.732448101,-32.2753318431
"Brand","Pamplona Blvd & Warnbro Sound Ave, Port Kennedy","Poor road surface quality",0,"There are pot holes in the road turning corner",115.7622528076,-32.35431614190001
"Brand","22 & Baldivis Rd, Baldivis","Confusing layout",0,"",115.8283828804,-32.2927513005
"Brand","Mandurah Rd & Sixty Eight Rd, Baldivis","Poor or no provision for cyclists",0,"cyclist are in danger of getting hit every time you try to turn",115.7836139202,-32.362363938
"Brand","1 & Anstey Rd, Karnup","Little chance to turn/cross traffic",0,"Northbound on Mandurah Road reduced visibility on intersection causing Safety issues for cars turning off Anstey Road. Small Turning lane causing Vehicles to slow up to 30km/h slower than traffic prior to entering turning lane. Also bad spot repairs just north of intersection northbound mandirah road.",115.7739305956,-32.4057617917
"Brand","Mundijong Rd, Baldivis","Narrow road, lanes or bridges",1,"Poor visibility, narrow shoulder/road, poor water run off in winter, windy, long grass/trees near shoulder, I sufficient room for cycling or overtaking, people overtake in dangerous locations and even on unbroken lines, poor intersections with lack of either clear vision, line of sight, slip lane, etc I drive this daily and and fearful every time, many drive at 80km due to their discomfort with this road and it only adds to other safety issues...",115.8826114855,-32.2905240987
"Brand","Eighty Rd & Sixty Eight Rd, Baldivis","Area requires lights/roundabout",1,"People run stop signs",115.7986986637,-32.3664328776
"Brand","1 & Council Ave, Rockingham","Poorly timed traffic light system",1,"Takes approx 4 light changes to get through lights from council ave",115.7577198744,-32.2848152275
"Brand","Mesa Link & Province Rd, Baldivis","Confusing layout",0,"Traffic coming from Mesa Link do not need to slow down or indicate a left turn onto Province as the road is continuous with no intersection signage. I usually travel from Smirk Road through to Province and always stop at the intersection even when turning left, even though that road is also continous. ",115.81334627,-32.3478430599
"Brand","1 & Elanora Dr, Cooloongup","Other",2,"only one road into the hospital gets quite congestered at certain times of the day",115.7631325722,-32.2944064511
"Brand","18 & Arpenteur Dr, Baldivis","Vehicles travel over the speed limit",1,"With a lot more traffic and high speed it is impossable, to cross over to head towards freeway. You may have to wait a long time, and there has been incidents.  ",115.8073890209,-32.3324076462
"Brand","1, Kwinana Beach","Confusing layout",0,"This section of the road here has many sets of traffic lights that are very confusing. because it seems that you are able to stop in a very tiny space just before Mason Road.Also it seems that when the traffic lights goes green for vehicles to cross over from Mandurah Road into Patterson Road, vehicles that were already stopping in Patterson road (heading north) sometimes thought that the green was meant for them. However, it was meant for the incoming traffic coming from Mandurah Road only!",115.7773590088,-32.2357458148
"Brand","Pedlar Cirt, Rockingham","Area requires lights/roundabout",0,"If you�۪re turning right at this intersection visibility is an issue from traffic on Patterson road.  In my opinion this intersection should be a round about, that would also help slow the traffic down. ",115.7529965043,-32.26994796
"Brand","Edwin Link & Norseman Appr, Baldivis","Area requires lights/roundabout",1,"This is a busy intersection, traffic coming out of the shops. ",115.8174794912,-32.3323237909
"Brand","june road safety bay","Speed limit too high",0,"June rd safety bay is used as a speedway by traffic entering from safety bay rd. there are six tee roads entering into june road in this section that have no control lines( give way or stop.and as a result there has been frequent near misses due to the speed of the car/ trucks on june road.There are no speed limit signs on june road south.",115.7704925537,-32.3083175904
"Brand","Warnbro Sound Ave, Warnbro","Poor or confusing signage",1,"* Impatience * Confusing indicating * Speed limit bit too high coming into the round about * Maybe improve road signage/directions well before reaching the round about",115.7577466965,-32.3261613484
"Brand","Baldivis Rd, Baldivis","Little chance to turn/cross traffic",0,"I have seen a very nasty T-Bone at this junction.  People confused as to who moves first.  Little chance to turn during peak traffic times.  A round-a-bout would have been a better solution",115.8283960819,-32.2927376964
"Brand","Fifty Rd & Nairn Dr, Baldivis","Narrow road, lanes or bridges",0,"Buses turning onto Fifty Rd from Nairn Drive have a narrow space to turn. School traffic makes this intersection unsafe.",115.8156448603,-32.3079866135
"Brand","1 & Carvie St, Hillman","Other",0,"Traffic wishing to avoid the traffic lights turn left into Carvie street and do a U turn at the Milina Street intersection. Traffic on Milina Street see a right hand turn signal on the approaching vehicle and pull out and find themselves  in front of the U turning vehicle.",115.7583582401,-32.2849830259
"Brand","1, Kwinana Beach","Poor or no provision for cyclists",0,"while travelling north on rockingham road on my bicycle the cycling lane disapears at the most dangerous section of road, that being on the approach to the traffic lights. Vehicles are forced to slow down or swing out wide as a cyclist comes in to the vehicle lane to get through the intersection and continue north. Some drivers are loath to do this and I have been squeezed over the kerb on numerous occasions. Thanks",115.7873743773,-32.2260803201
