Federal Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"Fremantle","Canning Hwy & Murray Rd, Bicton","Tight curves or blind crests",1,"The intersection crosses onto Canning Highway and its hard to see oncoming traffic plus there is a gradient so you really have to accelerate hard in case there is a car coming up the hill at 60kms. There seems to be lots of near misses and collisions as there are often smashed tail lights on the ground.",115.78997612,-32.0351832966
"Fremantle","Spearwood Ave & Yangebup Rd, Yangebup","Area requires lights/roundabout",5,"",115.8083117008,-32.1217569947
"Fremantle","Port Kembla Dr & Spearwood Ave, Bibra Lake","Little chance to turn/cross traffic",0,"You have to turn across two lanes of traffic and people try and push you across while you wait patiently for the traffic to clear which can take ages. A roundabout would be a great addition to this tricky crossing",115.8011046052,-32.1015214625
"Fremantle","Nicholson Rd, Banjup","Area requires lights/roundabout",4,"This is a roundabout which use to be a set of traffic lights before the development around the area. Now the intersection is getting more dangerous with the amount of traffic that use it. The city of Gosnells have no apparent reason to believe that they need to change this intersection despite all the recent traffic issuse and frount to tail accidents at that intersection.",115.9159469602,-32.1154454681
"Fremantle","12 & Rollinson Rd, Hamilton Hill","Little chance to turn/cross traffic",2,"when turning right into Rollinson Road, cars behind don't always have enough room to pass on the left or they don't see me stopped and I have almost been hit a few times, in the morning, turning left onto Cockburn road the traffic is quite heavy and fast and it is difficult to get a chance to turn. ",115.7609760761,-32.082274577
"Fremantle","Jandakot Rd & Solomon Rd, Jandakot","Lacks median strip/traffic separation",14,"",115.8751760228,-32.1119805156
"Fremantle","227-237 Jandakot Rd, Jandakot","Lacks median strip/traffic separation",0,"Multiple vehicle accidents.  Involved in 1 near this section.  Regular traffic jams and frustrated drivers",115.881151939,-32.1144762905
"Fremantle","14 & Beeliar Dr, Jandakot","Other",8,"I understand this may be more of a behavioural issue but multiple times a day, this intersection is severly blocked by vehicles who've stopped in the middle of the intersection trying to get through the lights. I believe a red light camera would deter people from doing this which in turn would free up the surrounding roads (especially the one going into Gateways Shopping Centre).",115.85407018660003,-32.12862383340002
"Fremantle","14, South Lake","Distraction issues",0,"Whenever Caltex service station has ""cheap"" fuel, cars line up out of the driveway which in turn blocks North Lake road and in some instances the intersection. This also happens on the Berrigan Dr driveway.",115.8371400833,-32.1155348246
"Fremantle","Berrigan Dr & South Lake Dr, South Lake","Area requires lights/roundabout",1,"",115.8387815952,-32.1118090433
"Fremantle","6-12 Absolon St, Palmyra","Little chance to turn/cross traffic",0,"Dangerous stock routes surrounding this street, no alternate exits",115.7911196048,-32.0513542636
"Fremantle","Rockingham Rd & Spearwood Ave, Spearwood","Little chance to turn/cross traffic",2,"There needs to be a filter arrow for people crossing Rockingham Road onto Spearwood Av. There is always a large amount of traffic which makes it difficult to turn.",115.7826590538,-32.1026984132
