Local Government Area,Location,Main risk,Supports,Description,Longitude,Latitude
"ALBANY","42555-42555 South Coast Hwy, Cheynes","Narrow road, lanes or bridges",1,"",118.2718992233,-34.7933650634
"ALBANY","1 & 30, Orana","Little chance to turn/cross traffic",5,"It�۪s very hard to cross from South Coast Highway to Albany Highway. The high volume of traffic coming from the roundabout, means you are stuck there for ages, waiting. Then there is little space for stopping in the middle and it is an awkward angle to see if it�۪s safe to turn onto Albany Highway.",117.864241004,-35.002322305
"ALBANY","477 Albany Hwy, Orana","Little chance to turn/cross traffic",0,"It is very difficult to turn right from Le Grande Ave onto Albany Highway. There is a higher volume of traffic since Coles opened there. It is confusing with traffic coming in and out of Coles Orana.",117.8561916947,-34.9919690343
"ALBANY","Albany Hwy & South Coast Highway, Lockyer","Other",25,"I believe this intersection is already listed as high risk, currently a fuel station is being added which is beyond the comprehension of many locals.",117.86534070965057,-35.0030275628896
"ALBANY","Millbrook Rd & Warren Rd, King River","Tight curves or blind crests",0,"1- Family member nearly killed in a collision at this intersection. 2 - Frequently tailgated by impatient drivers when turning into Warren Rd from Milbrook Rd. 3 - Other drivers seen frequently speeding in this section.",117.8896307945,-34.9308730368
"ALBANY","8-8 Anson Rd, Orana","Poor road surface quality",0,"The road is cratered and patch so much it�۪s like driving across corrigated road. This is a long overdue section that requires attention and not just a patch job.",117.8580451012,-34.9933050138
"ALBANY","Marbelup Rd & South Coast Hwy, Marbelup","Little chance to turn/cross traffic",0,"The speed limit is 110kms when pulling out from Marbelup Rd turning right with a horse float/trailer I have had several near misses with traffic coming around the bend having to either overtake me or brake heavily as I am turning, there should be perhaps warning signs to slow down? ",117.7176690102,-34.9838955627
"ALBANY","2 & Parker St, Lockyer","Little chance to turn/cross traffic",0,"It's a hazard, cars trying to cross over in to the flow of the traffic have coursed problems on the parts, there has been collisions as well. I believe closing of this road and making it a dead end will make traffic flow on and off the main Round about much better",117.8647398949,-35.0038031199
"ALBANY","95-95 Sanford Rd, Centennial Park","Little chance to turn/cross traffic",3,"It is often congested and I don't like how long you wait to turn out.Often its difficult to know whether it is safe to go also.",117.8834697604,-35.0088693254
"ALBANY","95-95 Sanford Rd, Centennial Park","Poor road surface quality",0,"Too many potholes.",117.8831689698,-35.0095416784
