Local Government Area,Location,Main risk,Supports,Description,Longitude,Latitude
"HARVEY","Paris Rd, Australind","Other",1,"The intersection is often accessed inappropriately to get through to Piggott Dr. The road is long overdue to be connected and causes local headaches for everybody. There are also no footpaths for people to access the industrial area, and for school children to get from Treendale to Mercy Campus without going via the main roundabout. ",115.745344162,-33.2734620424
"HARVEY","1 & Binningup Rd, Binningup","Little chance to turn/cross traffic",8,"At busy times, for example weekend and holidays extreme risk is required to join, or cross traffic via. Intersection.",115.7201457025,-33.1485527917
"HARVEY","219-459 Clifton Rd, Brunswick","Tight curves or blind crests",0,"We have lost 2 lives on this section road and a few minor accidents",115.8092021942,-33.2648145656
"HARVEY","Capel","Lacks overtaking opportunities",0,"At the corner of Heppingstone, coming towards Brunswick from Bunbury. There is very warning that you are there the railway line is very close to the Highway but you cant see it because of all the plant growth. And. If there is a train coming and already 1 car in front of you at the boom gates you have to stay on the highway. And there is no room to pass on the outsde of you no outer lane for them to pass. Its pretty scary if they try to do that especially if its a big truck.Too many trees.",115.8301592991,-33.2886700333
"HARVEY","20 & Mornington Rd, Wokalup","Other",1,"It's a give away sign. Yet no one gives away when there is clearly traffic travelling at 110km/hr. Sheer stupidity & impatience. Possibly requires lights, a lot of shift workers use the intersection on their way back from work are impatient & pull out. Several accidents have happened here, will be fatal one day. Almost every trip back from Bunbury someone or up to 2 cars will pull out and floor it away only to hit the 80km zone & still not slow down. Pathetic.",115.8757791894,-33.130027853
"HARVEY","10, Ludlow","Narrow road, lanes or bridges",0,"Busell Highway changes from dual carraigeway to single which confuses many people, especially tourists of which there are many on that stretch of road.",115.8436203003,-33.2368210117
"HARVEY","Raymond Rd & Treendale Rd, Roelands","Other",0,"Couple of deaths, near misses, rear ends. Lack of visibility until my husband got and whipper snipped the waist high vegetation. Front ends wiped off. Vehicle rollovers. Frequent overside loads - insufficient passing/turning lane.",115.7619744258,-33.2904957029
"HARVEY","1 & Stanley Rd, Leschenault","Other",1,"Intersection is not suitable for the amount of heavy veihical traffic coming in and out. Trucks cannot fit on cente island when trying to go north on forrest highway.",115.7441895139,-33.2447575747
"HARVEY","1 & Myalup Beach Rd, Myalup","Little chance to turn/cross traffic",1,"Tragic volume on Forrest Highway is now significant and many long loads use the Highway and travel at speed limit. Dual carriage way utilised by all vehicles and the lack of turning lane onto the highway means exiting from Myalup at drivers peril until a speed of 110 km can be reached and thus travel with the traffic heading back to Perth.  Inters croon needs with speed reduction or turning lane. Death will occur at this intersection as many near misses due to volume of highway traffic at speed",115.7225346565,-33.1070185753
"HARVEY","Raymond Rd, Australind","Little chance to turn/cross traffic",1,"Exstemly hazadess on friday afternoons, and peek times, trucks turning Right, up a slope, slow tack off most with duel trailors. on coming cars heading south west driving too fast and not slowing down to speed limet before coming to intersectioin. cars and trucks are frequently backed up on Raymond Rd du to hazardess situation.  ",115.75232863430003,-33.284736563500005
"HARVEY","1 & Raymond Rd, Australind","Area requires lights/roundabout",0,"Very stressful intersection due to volume of traffic. Drivers continually take risks crossing intersection entering north and south bound lanes or entering Raymond Rd from south .",115.7521247864,-33.2846199689
"HARVEY","9908-9908 South Western Hwy, Yarloop","Poor road surface quality",0,"The Southwest Highway from Wagerup South-Bound through Yarloop needs upgrading due to poor road condition/road seal, requires widening and better lanes/road edge markings need updating. Perhaps a new technology of reflective paint would give drives better visibility ahead especially at night. ",115.9167480469,-32.9709396921
"HARVEY","1, Australind","Distraction issues",0,"Speed limit could be higher than 80, seems to be low so Police can make revenue with people speeding, as 100 on other side.",115.7532191277,-33.2742424261
"HARVEY","Kingston Supa Deli & Cafe, 9012 Kingston Dr, Australind","Area requires lights/roundabout",0,"Only one in & out of Kingston basically, if this intersection is blocked , we are stuffed unless you have a 4WD",115.7452583313,-33.267003427
"HARVEY","9-19 Waterford Way, Australind","Area requires lights/roundabout",0,"Needs to be connected to Forrest Hwy , so we can get out of Kingston , instead of the bottleneck at Kingston Entrance",115.7482194901,-33.256776309
"HARVEY","South Western Hwy & Weir Rd, Harvey","Area requires lights/roundabout",0,"Bad intersection with poor visibility due to traffic coming uphill to the intersection that is hard to see, traffic travels too fast so turning vehicles are caught off guard. Near misses are common and a death has occurred in the past.",115.9058475494,-33.0822738017
"HARVEY","Old Coast Rd, Leschenault","Little chance to turn/cross traffic",0,"Fast moving traffic coming from the north and turning into Old Coast Road can be too quick for a driver crossing traffic to head south on the Forrest Highway. There have been some serious accidents, one only 2 weeks ago, at this intersection. Too many things to watch... traffic speeding across the intersection to Old Coast Road and traffic coming from the right heading north along the freeway at full speed. The Binningup intersection would be a better model to have used here. A rest point. ",115.7284811139,-33.231602632
"HARVEY","10622-10622 South Western Hwy, Warawarrup","Poor or confusing signage",0,"",115.9074783325,-33.0394640999
"HARVEY","10840-10872 South Western Hwy, Warawarrup","Other",0,"Poor visibility whilst trying to turn onto south western highway.",115.9074568748,-33.0608535698
"HARVEY","1, Myalup","Poor road surface quality",0,"Forrest Hwy Southbound.The section of road south of Myalup has a poor road surface and the road camber leans to one side.",115.7239723206,-32.9571131946
"HARVEY","Paris Rd & Pearce Rd, Australind","Confusing layout",0,"Entering from Pearce Rd to Paris Rd it is difficult to tell if it is dual carriage way due to parallel road beyond median. At night the intersection has poor visibility as well",115.7220840454,-33.2779110329
"HARVEY","Raymond Rd, Australind","Little chance to turn/cross traffic",0,"99 tonne roadtrains pulling out of Raymond road to head north have little time to get moving and across southbound traffic without causing interuption to the traffic flow.",115.7527685165,-33.2849518146
"HARVEY","1 & Buffalo Rd, Parkfield","Vegetation/objects block visibility",0,"when driving South down Forrest Highway and turning into Buffalo road Vision is obscured of oncoming traffic coming from Bunbury. this job is an easy fix so it should get early priority",115.7172212005,-33.1974533753
"HARVEY","20 & Heppingstone Rd, Brunswick","Little chance to turn/cross traffic",0,"There has been a fatality here.",115.8354556561,-33.2663126857
"HARVEY","20, Harvey","Poor or no guard/barrier fencing",0,"On December 9th 2018 my son lost his life on that stretch or road.  If there were barriers the car would not have rolled down the embankment and Brady would be home with me",115.9055149555,-33.0642029321
