Local Government Area,Location,Main risk,Supports,Description,Longitude,Latitude
"KALGOORLIE-BOULDER","Kalgoorlie","Other",0,"Entire Kalgoorlie Kambalda road risky with poor signs and inadequate overtake areas. Frequent mine managers speeding and overtaking in blind spots",121.5802001953,-31.0576398141
"KALGOORLIE-BOULDER","Burt St & Gatacre Dr, Boulder","Tight curves or blind crests",3,"Accident, Cars going too fast (Screeching brakes), Distracted Drivers looking at Planes at the Airport, Narrow and Tight Turn for all vehicles. Large Buses, Mining Trucks, No Footpath on Airport Side. Planes flying low. Heavy congestion school times and work hours. Pedestrians close to traffic",121.4647713304,-30.7819004635
"KALGOORLIE-BOULDER","Gatacre Dr & Hart Kerspien Dr, Broadwood","Area requires lights/roundabout",0,"Trucks and Cars pulling out from Hart Kerspien Drive in front of other cars travelling 70kmh along Gatacre Drive. High volume traffic area given Airport Road, West Kalgoorlie Factories and school traffic. Kids walking to school can't cross the road as too many cars coming in and out. No footpath on Airport side of road. No safe place along Gatacre to pull over for emergencies or RAC towing",121.45176261660004,-30.776641807400008
"KALGOORLIE-BOULDER","Lane St, Kalgoorlie","Other",0,"The entry/exit out of the Woolworths shopping centre is uncontrolled and too close to the Brookman Street roundabout. Vision is obscured by street parking and vehicles exit the roundabout too quickly making it unsafe to cross Lane Street and exit the carpark. There should not be any street parking and that space might be more effective as a turning lane. I would recommend building another roundabout at the shopping centre entrance/exit to facilitate the crossing of traffic.",121.4680865407,-30.7502358758
"KALGOORLIE-BOULDER","67 Bates Dr, Somerville","Poor road surface quality",0,"This highway is absolutely a disgrace to drive on pot holes/ uneven surfaces and not at all safe to drive on!! Worst stretch for accidents _���",121.45660400390001,-30.766619146700016
"KALGOORLIE-BOULDER","Broadwood St & Gatacre Dr, Broadwood","Area requires lights/roundabout",2,"One severe accident, serveral minor incidents, several near misses and costant congestion",121.448906064,-30.7750263606
"KALGOORLIE-BOULDER","Chapple St & Piccadilly St, Piccadilly","Area requires lights/roundabout",1,"There have been several pretty severe accidents on this intersection, there is bad visibility and it is a busy road, and it is long overdue for major changes to make it safer for motorists.",121.4623171091,-30.7466744274
"KALGOORLIE-BOULDER","Broadwood St & Kakarra Rd, West Kalgoorlie","Vegetation/objects block visibility",0,"Verge trees block vision at all intersections in the area, particularly for high vehicles ie trucks.",121.4360904694,-30.785552779
"KALGOORLIE-BOULDER","Johnston St & Maxwell St, Somerville","Vegetation/objects block visibility",0,"I travel home this way most nights, traffic is heavy and when turning from Maxwell street to Johnston street it is hard to see the traffic coming from the left.",121.4735233784,-30.7754803477
"KALGOORLIE-BOULDER","Grants Patch Rd, Ora Banda","Poor road surface quality",1,"The road is not maintained.  It appears that whilst mining traffic use the road and maintain the road that the Shire does not do any road maintenance.  It is poorly constructed unsealed road that regularly develops ruts and washouts after rain and then is not maintained for months at a time.",121.1543941498,-30.4363900312
"KALGOORLIE-BOULDER","Hare St & St Albans Rd, Mullingar","Other",0,"The alignment of St Albans Rd and Hare St is poor (less than 90 degrees). Railway crossing and signage restrict vision, and the intersection is a high traffic area. The area has seen a number of serious and minor car accidents.",121.4683145285,-30.7335731576
"KALGOORLIE-BOULDER","Lionel St & North Ter, Boulder","Vegetation/objects block visibility",0,"As you approach this roundabout whilst driving towards Boulder you cannot see traffic approaching from the right as the view is blocked by a residents fence.This has worried me for 23 years and other people have commented too about taking dangerous chances at this roundabout.I hope it can be sorted out ?",121.4836406708,-30.7753950812
"KALGOORLIE-BOULDER","Gatacre Dr & Great Eastern Hwy, Somerville","Little chance to turn/cross traffic",0,"Needs right turn arrow filters if turning off Great Eastern Highway",121.4449122548,-30.771106312
"KALGOORLIE-BOULDER","58 Johnston St, Boulder","Vegetation/objects block visibility",0,"There is very poor visibility even at low speeds when travelling south along Lionel st through Johnson st roundabout and people enter the roundabout way too fast or run over the top of it.",121.4842388034,-30.7723208297
"KALGOORLIE-BOULDER","105 Forrest St, Kalgoorlie","Other",0,"Exiting the Post Office parking area, there is no access to a perfectly good roundabout instead you are required to join traffic by looking over your shoulder. Absolutely stupid!",121.4647257328,-30.74890121250001
"KALGOORLIE-BOULDER","Dugan St & Maritana St, Kalgoorlie","Other",0,"",121.4719033241,-30.7441409933
"KALGOORLIE-BOULDER","Boulder Rd & Connolly St, South Kalgoorlie","Little chance to turn/cross traffic",0,"",121.4811086655,-30.75310338
