State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"BASSENDEAN, EM","94 & Scott St, Greenmount","Little chance to turn/cross traffic",1,"I have seen many near misses at the intersection. Turning from Scott street onto the highway is dangerous as there is a mix of cars and trucks coming down the hill.",115.9485054016,-31.8650204699
"BASSENDEAN, EM","53 & 76, Morley","Other",3,"",115.9243306518,-31.8889521442
"BASSENDEAN, EM","Lord St & Morley Dr E, Eden Hill","Lacks overtaking opportunities",6,"Lord Street is nowadays very busy and traffic cannot bypass vehicles turning right into Morley Drive -there needs to be a widening of the median strip to allow cars to pass on the left side of the turning vehicle -very simple to do as there is plenty of room to widen the road here -this will reduce the number of rear end collisions that occur !",115.9556722641,-31.8877792794
"BASSENDEAN, EM","Alexander road and Orrong road Carlisle","Little chance to turn/cross traffic",0,"Traffic cutting infrout of heavy traffic to  make a right hand turns",115.9555297927,-31.9087346549
"BASSENDEAN, EM","53 & Walter Rd, Embleton","Little chance to turn/cross traffic",0,"Distracting lit billboards from shopping nearby centre are annoying at an already very busy intersection. Rare opportunities to turn left into Beechboro Rd North if not already in the left lane from as far back as the Collier Rd intersection. New petrol station currently being build will only amplify this.",115.923614502,-31.8947388174
"BASSENDEAN, EM","53 & Beechboro Rd N, Beechboro","Little chance to turn/cross traffic",1,"Volume of traffic on both sides of Beechboro Road North prevents entering or leaving St Lawrence Dr",115.9249663353,-31.8649680763
"BASSENDEAN, EM","Amazon Dr & Beechboro Rd N, Beechboro","Area requires lights/roundabout",0,"Intersection needs to be a roundabout because of the level of traffic",115.9249663353,-31.8680546952
"BASSENDEAN, EM","Altone Rd & Amazon Dr, Beechboro","Area requires lights/roundabout",1,"Needs a roundabout",115.944621563,-31.8701503481
"BASSENDEAN, EM","Beechboro Rd N, Morley","Tight curves or blind crests",0,"There have been multiple accidents on the bend between Hamersley Avenue and Morley Drive East, most of which I've seen firsthand, often involving wooden power poles being crashed into at speed. There have recently been chevron signs erected (only on the southern direction of the road) to indicate a tight bend, but other safety systems need to be installed, such as crash barriers, rumble strips on the southbound approach to the traffic lights, better lighting on both lanes, especially southbound ",115.9250843525,-31.8875150981
"BASSENDEAN, EM","James St & Palmerston St, Bassendean","Poor or confusing signage",0,"Vehicles constantly run the stop signs on Palmerston St, crossing or turning onto James St. James St has a crest that blocks visibility of vehicles travelling north towards Palmerston St. I have lived near the intersection for 4 years and seen multiple accidents and near misses, including vehicles almost hitting  buildings and pedestrians. I think rumble strips or speed bumps on Palmerston St would make drivers slow down as they approach the stop sign.",115.9502649307,-31.9064567983
