State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"BELMONT, EM","311-311 Stirling Cres, Hazelmere","Other",1,"Edge of road has a large drop off and cars lining up at the traffic lights are unable to go around other cars to be able to turn left at the lights without risking their car going down the large pot hole",116.0086405277,-31.91624720440002
"BELMONT, EM","Kurnall Rd & Orrong Rd, Welshpool","Little chance to turn/cross traffic",0,"One death in last 6 months, around 2 accidents a month.",115.9549427032,-31.9958113483
"BELMONT, EM","Airport Dr, Perth Airport","Distraction issues",0,"As you approach the airport and try and find where to go T1 or T2, besides they not be very clearly marked, there is a great big advertising illumination right in your face. So you are finding your way, navigating a roundabout and flashing adverts in your face.  Much better if the adverts should you the way to go.  Much better if they had a gantry showing you which lane to go in.",115.9721893072,-31.9485026334
"BELMONT, EM","Alexander Rd & Hardey Rd, Belmont","Confusing layout",31,"Many cars do not stop at the stop sign.If you are not familiar with the intersection it is very confusion.",115.93958973886053,-31.951377073991175
"BELMONT, EM","286-294 Stirling Cres, Hazelmere","Poor road surface quality",1,"The current Stirling Crescent in Hazelmere between Bushmead Road & Great Eastern Hwy Bypass is in poor condition and can�۪t cope with the number of trucks and vehicles that use it.",116.00908041,-31.9135196564
"BELMONT, EM","Bushmead Rd & Military Rd, Hazelmere","Vegetation/objects block visibility",1,"peak traffic times, inability turning right from military road with safety and risks have to be dangerously taken.  Have suggested to main roads a cheap version would be to remove scrubby trees for clearer vision but they said they could not see a problem.",116.0147130489,-31.9107146145
"BELMONT, EM","3 & Great Eastern Highway Byp, Hazelmere","Other",2,"Excessive congestion  Intersection needs upgrading to over pass",116.014380455,-31.9161789029
"BELMONT, EM","55 & Keane St, Cloverdale","Little chance to turn/cross traffic",1,"When turning right from Keane St into Abernethy Rd it is very hard to get across four lanes of traffic.  Often whilst waiting for a clear path, cars behind will shortcut through the Bowling Club and come out onto Abernethy Rd and turn right into Keane St in front of you, further delaying the ability to turn right.  A larger break area in the middle of the intersection would help so you could go halfway and wait for the other lanes to be free to enter safely. ",115.94288349150006,-31.96883799300001
"BELMONT, EM","196-220 Bushmead Rd, Hazelmere","Poor road surface quality",0,"I was hit by a car in this location",115.998544693,-31.9058329092
"BELMONT, EM","1 & Ben St, Ascot","Little chance to turn/cross traffic",2,"During peak hour traffic, taxi's will often use Ben Street / Redcliffe Road as a rat run, instead of turning at the traffic lights at Fauntleroy Ave.  This is dangerous as it blocks the flow of traffic and causes back ups through the Coolgardie Ave intersection.",115.9482800961,-31.9279920401
"BELMONT, EM","Felspar St & Orrong Rd, Welshpool","Little chance to turn/cross traffic",1,"Turning Right from Felspar St onto Orrong Road is a joke sometimes. you have to wait for the traffic to clear coming on from your drivers side, then once that is clear, you have to give way to turning traffic coming from Orrong Road onto Felspar then once that is clear you then have to wait all over again as there is very little gap for you to turn as there is more traffic coming from your drivers side again.Sometimes you can sit up to 15-30 Min as it is a repetitive cycle. ",115.9696680307,-32.0018051085
"BELMONT, EM","4, Redcliffe","Other",1,"This sections of Tonkin Hwy heading North is bottle necks. 3 lanes traffic merged in to 2 under Great Eastern Hwy bridge then back to 3 lanes on bridge over Swan river. 3 lanes traffic merged to 2 lanes before Guildford Road bridge. Cars heading North on Tonkin Hwy have to come to complete stop from speed of 100 km/h speed before the Boud Ave exit. Who designed this? Every week day is same. Tow trucks are there every weekdays on that section of Tonkin Hwy waiting for jobs.",115.9407913685,-31.9336806546
"BELMONT, EM","Victoria Park Dr, Burswood","Other",0,"Drivers look right but not left for bicycles and pedestrians",115.8991478104,-31.962325151
"BELMONT, EM","Bushmead Rd & Military Rd, Hazelmere","Little chance to turn/cross traffic",10,"Vehicles taking risks to enter into Bushmead Road from Military Road due to constant flow of traffic.  ",116.0147988796,-31.9107510442
"BELMONT, EM","228-230 Surrey Rd, Kewdale","Other",0,"A speed limiting chicane has been put in the road but it is over the crest of a hill.  You can't see it easily especially at night and it has made this section more dangerous than when it was left alone.",115.9223914146,-31.9720053159
"BELMONT, EM","Alexander Rd & Orrong Rd, Carlisle North","Little chance to turn/cross traffic",9,"",115.9174942563,-31.9702838389
"BELMONT, EM","55 & Daly St, Ascot","Confusing layout",0,"double lane round about",115.9227132797,-31.9406003034
"BELMONT, EM","Great Eastern Hwy & Queens Rd, South Guildford","Area requires lights/roundabout",1,"",115.9681499004,-31.9076225943
"BELMONT, EM","4 & Great Eastern Highway, Ascot","Poor or confusing signage",1,"Vehicles constantly cut across from left hand of 2 exit lanes to continue on Tonkin highway. Left lane must exit isn�۪t clearly signposted. I see this happen on a daily basis and have seen many near-misses.",115.93817085025553,-31.931046954052146
"BELMONT, EM","194-198 Campbell St, Belmont","Vehicles travel over the speed limit",0,"Between Alexandra Rd and Campbell St and on to Abernathy Rd Knutsford ave Is used as a rat run to avoid Alexandra/Belmont and Alexandra/Abernathy traffic lights. I have had several near misses with cars that have been travelling well over 50 kmh and I think the street should be closed off-turned into dead end as is the case of many other streets in Rivervale",115.9256637096,-31.9557306673
"BELMONT, EM","Orrong Rd & President St, Welshpool","Little chance to turn/cross traffic",2,"MANY accidents",115.9316396713,-31.9825804705
"BELMONT, EM","Oats St & Orrong Rd, Carlisle South","Little chance to turn/cross traffic",6,"No opportunity to turn right onto Orrong Rd coming from Oats St Belmont direction",115.9268760681,-31.9783942383
"BELMONT, EM","4, Ascot","Other",1,"The multiple merging lanes in addition to Tonkin highway traffic attempting to get into the left lane (To exit off at Guilford) has caused a bottleneck in the main arterial highway. Accidents are common, and the results are traffic jams seen all the way to Leach Highway,",115.9377604723,-31.9308967148
"BELMONT, EM","Airport Dr, Perth Airport","Confusing layout",1,"",115.9538269043,-31.9647057464
