State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"EAST METROPOLITAN REGION","30, Ashendon","Poor road surface quality",5,"There is a good 2k strip that runs threw a few s bends where pretty much the whole road is pot hole ontop of pot hole. Almost have to drive off the road to avoid them easily 200-300 poor patches within the strip very poor quality and rather rough bumpy strip",116.16742139220005,-32.27160567060002
"EAST METROPOLITAN REGION","Lockwood Rd, Hacketts Gully","Poor road surface quality",0,"a very popular road when travelling to / from Mundaring from the southern suburbs,  Requires bitumen.",116.1451220512,-31.9809060005
"EAST METROPOLITAN REGION","224-332 Gobby Rd, Keysbrook","Poor road surface quality",0,"Family has lived on road for over 100 years, many accidents and near misses over the years with high level off offroad and hoon vehicles in an environmentally sensitive area and high fire danger area with poor access and poor road conditions. Road has mining vehicles, rubbish trucks, general traffic and horses being ridden on it. Large rates paid with little to no maintenance on road.",116.01193428040007,-32.44267572760001
"EAST METROPOLITAN REGION","Abernethy Rd & Hopkinson Rd, Oakford","Little chance to turn/cross traffic",33,"Multiple vehicle collisions, near misses and single vehicle accidents ",115.9726238251,-32.2192276332
"EAST METROPOLITAN REGION","Kargotich Rd & Mundijong Rd, Mundijong","Other",4,"People turning and not giving way to oncoming traffic",115.9526159486,-32.2958591404
"EAST METROPOLITAN REGION","Keirnan St, Mundijong","Poor road surface quality",0,"Children and parents with prams having to go on the road to cross the train tracks. Speeding cars coming around the corner and nearly hitting kids on bikes or scooters as there is no footpath for them to go on. No boom gates and cars crossing after the lights have started flashing to signal a train. Very poor quality road.",115.9908360243,-32.2822982135
"EAST METROPOLITAN REGION","Karnup Rd, Serpentine","Tight curves or blind crests",0,"I have lived in area for 15 years and we have had many deaths or bad accidents along this road",115.9398472309,-32.3602478358
"EAST METROPOLITAN REGION","20 & Karnup Rd, Serpentine","Lacks overtaking opportunities",1,"Some near misses involving horse floats trying to turn onto Karnup Rd as there is no turn-only lane.",115.9912292587,-32.3644564396
"EAST METROPOLITAN REGION","Abernethy Rd & Kardan Blvd, Byford","Little chance to turn/cross traffic",8,"Near misses daily, agitated drivers ",115.9781652689,-32.2195997791
"EAST METROPOLITAN REGION","Thomas Rd, Darling Downs","Area requires lights/roundabout",3,"Use this intersection daily, trucks and cars are speeding it�۪s very dangerous, at night there is very little lighting",115.9777414799,-32.2070594375
"EAST METROPOLITAN REGION","Thomas Rd & Tuart Rd, Oakford","Speed limit too high",1,"Can take up to 10 minutes to turn onto Thomas Rd",115.888466835,-32.2225315096
"EAST METROPOLITAN REGION","Abernethy Rd & Soldiers Rd, Byford","Little chance to turn/cross traffic",6,"Intersection right near the railway crossing and busy shopping centres and a high school with school children trying to cross. Inadequate markings, very poor quality road and bad intersection that requires better markings, lighting and traffic calming.",116.0072350502,-32.2217554725
"EAST METROPOLITAN REGION","King Rd & Thomas Rd, Oakford","Speed limit too high",3,"",115.9037554264,-32.2183562611
"EAST METROPOLITAN REGION","589-589 South Western Hwy, Byford","Poor or no road lighting",1,"There is a VERY busy one way each way stretch of South West Highway that is pitch dark at night as it has absolutely NO lighting at all, the speed limit is 90km/h, however rarely get to do this as there is so much traffic or slow cars doing 60km/hr. It is double lines due to hills so no overtaking yet I see some people try and it is dangerous! Plus there is often cyclists so it is dangerous to give them the 1metre law. This stretch desperately needs double lanes and street lighting asap.",116.014122963,-32.1999011818
"EAST METROPOLITAN REGION","Thomas Rd, Oakford","Speed limit too high",1,"Trucks travelling at very high speed. Multiple fatalities in this area",115.9119737148,-32.2144894469
