State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"MAYLANDS, EM","Newton St, Bayswater","Area requires lights/roundabout",1,"This is 1 of only 2 roads in and out of a growing area. Turning right on Guildford road is a real problem. Traffic from the West comes hooning around the corner, and traffic from the east is heavy. I�۪ve seen many vehicles get stuck in the middle of the road, unable to turn right. Only a matter of time before someone gets side swiped at this intersection.",115.923448205,-31.9230725503
"MAYLANDS, EM","2-2 Darby St, Maylands","Tight curves or blind crests",1,"",115.9031760693,-31.9278053729
"MAYLANDS, EM","27-53 Salisbury St, Bayswater","Vehicles travel over the speed limit",0,"Although it's a local access street, it is used as a rat-run between Beaufort St and Railway Pde (especially for pizza delivery drivers). Considering the amount of residential subdivision in this area and the resulting loss of open space and/or trees, a narrower road with (expanded) vegetated verges would slow traffic, discourage it's use as a thoroughfare, return it's role to that of a local access street, and provide urban greenery along the street.",115.895011425,-31.920103883
"MAYLANDS, EM","53 & Tenth Ave, Inglewood","Area requires lights/roundabout",2,"accidents at least once a month",115.8864793181,-31.9210031443
"MAYLANDS, EM","Beaufort St & Crawford Rd, Inglewood","Little chance to turn/cross traffic",0,"Frequent car crashes here (inc some very serious ones). Because there is not sufficient room the stopping lane in the center of the intersection for cars turning onto Beaufort st from Crawford Rd, if a car stops in the centre of the intersection waiting for traffic to pass before completing turn onto Beaufort st, then the front & back end of the turning car waiting in the middle of the intersection hangs out in both directions of oncoming traffic of cars travellings straight down Beaufort St. ",115.8891642094,-31.9188517324
"MAYLANDS, EM","Crawford Rd & Railway Pde, Maylands","Poor or no provision for cyclists",0,"If you are heading north along Caledonian and want to cross Whatley, you can only really do so from the left side of Caledonian. If you are on the right, you can cross Whatley but then you are stuck at the railway. It is very unsafe for pedestrians and cyclists, as well as cars because they need to wait for ages before they can cross ",115.8959341049,-31.9249757252
"MAYLANDS, EM","89-101 Whatley Cres, Bayswater","Little chance to turn/cross traffic",1,"Turning right from Wheatley crescent into Coode street can be risky Dealing with two lanes of turning traffic  Confusing as to who is first to turn",115.9117162228,-31.9187378997
"MAYLANDS, EM","1-43 Stuart St, Maylands","Vehicles travel over the speed limit",0,"Excessive on street parking on both sides of the road,unavoidable due to street layout,general public use this street as cut thru to access Beaufort st or railway pde and there are no traffic dampeners or speed humps vehicles travel as excessive speed in relation to amount of vehicles parked on street 60-80 km hr",115.8954405785,-31.9228266827
"MAYLANDS, EM","Beaufort St, Inglewood","Unsafe or poor pedestrian crossing",3,"Cars, buses and trucks  running red light at pedestrian crossing. Cars being rear ended. Pedestrians at risk of being hit.",115.885835588,-31.9213947187
"MAYLANDS, EM","Beaufort St, Bedford","Other",0,"As people head north towards Grand Prom lights, if the lights to turn right are red, people turn right at Rosebery and use the side street as a thoroughfare to Railway Parade.  My suggestion is to have a No right turn at Rosebery (remove the no right turn at Salisbury Street nearby)  Alternatively I would suggest installing chicane in an effort to slow the traffic heading east over the hill on Rosebery as it is dangerous at high speed",115.8923614025,-31.9164065745
"MAYLANDS, EM","4, Bayswater","Other",2,"Negotiating a sharp bend at recommended speed of 40kph and then having to immediately merge into a 100kph lane on a bridge with heavy trucks usually using that lane.",115.9267454303,-31.9216982794
"MAYLANDS, EM","4, Bayswater","Other",10,"Not much notice or signage for guildford road exit.doing 80 is too fast for such a tight bend.",115.9272418946,-31.9217341024
"MAYLANDS, EM","Railway Pde, Bayswater","Confusing layout",2,"People heading north after just crossing the train tracks often come to a stop at the t junction when they actually have right of way (since other street marked with stop signs). They enter the intersection, see other cars on the adjoining road then slam on brakes thinking those vehicles may have right if way, but they don�۪t, and so people nearly rear end them.",115.9292283654,-31.9181573506
"MAYLANDS, EM","4, Bayswater","Other",1,"Tonkin Hwy heading south. 3 lanes merged in to 2 lanes. traffic travellng from 100 km/h. Need 3 lanes at the bridge over Guildford road.",115.9243226051,-31.9157781994
"MAYLANDS, EM","53 & Collier Rd, Embleton","Other",0,"Travelling down Collier Road towards Morley and attempting to turn right at Broun Avenue (heading East) can be a nightmare . Visibility is poor as there are 3 oncoming lanes of traffic - the two turning lanes block visibility of the third lane of traffic coming straight ahead. There are many near misses as drivers take risks by continuing to turn even if they can't see if a car is coming. I have experienced impatient aggressive drivers behind me honking their horns but I won't go if I can't see!",115.9048390388,-31.9011148956
"MAYLANDS, EM","55 Central Av, Maylands","Tight curves or blind crests",1,"I had a crash",115.8898079395,-31.9318937528
"MAYLANDS, EM","172B Peninsula Rd, Maylands","Little chance to turn/cross traffic",0,"High traffic area which is not managed through a round about. Traffic from Peninsula Road dominates the round about. Its difficult to get through.",115.8949095011,-31.9338104028
"MAYLANDS, EM","4, Bayswater","Other",0,"On Tonkin Hwy where the lanes reduce to 2 lanes at the bridge over Guildford Rd there is serious congestion and the potential for accidents, particularly at peak times",115.9346008301,-31.9288548018
"MAYLANDS, EM","Broun Ave & Coode St, Bedford","Other",0,"Three of the four approaches to this intersection are on a downward gradient meaning that it is more difficult to reduce speed as vehicles approach the intersection. The remaining approach is on an s-shaped bend. Three or the four approaches have limited sideways visibility due to property boundary fences.  No dedicated turning lanes. Three schools in close proximity with heavy traffic on school days in morning and afternoon.  There is little room for 'escape' in an emergency situation.",115.8999118209,-31.9086153308
"MAYLANDS, EM","Robinson St & Wood St, Inglewood","Confusing layout",0,"Vehicles turning right into Wood St from Robinson St have no idea whether a vehiclle coming up on the left on Wood St is going to go straight ahead and continue along Wood St  as Wood St curves here and has a bit of a dog leg, or whether they are going to  continue straight in front of the vehicle in Robinson St, as it appears that Wood St and Robinson St blend into each other on this curve.  Very confusing and you have to take your life in your hands to make the crossing.",115.8873081207,-31.9150496432
"MAYLANDS, EM","15-15 Fourth Ave, Maylands","Tight curves or blind crests",0,"This section of Fourth Avenue requires a No Parking / No Standing enforcement due to the blind crests coming either way and the risk of distraction for events on the oval / loose dogs or children.",115.8904623985,-31.9350919411
"MAYLANDS, EM","51, Bayswater","Inadequate rest or stopping areas",1,"I am a retired police officer with many years experience as a traffic patrolman and crash investigator. From my many yrs experience with this intersection I have witnessed many serious situations for cyclists, pedestrians, long vehicles and the likelihood of trains colliding with vehicles. The new Tonkin Induistrial Park will bring an increase in vehicles, exspecially trucks and this increases the risks exponentially for a serious smash involving trains only metres from the new Airport link    ",115.929453671,-31.9183235474
"MAYLANDS, EM","Guildford Rd & Katanning St, Bayswater","Other",0,"the PUMA petrol station situated in Katanning st but right on the corner of busy guildford road attracts cues of traffic which stand right at the entrance to Katanning St intersection with Guildford Rd. Vehicles turning off Guildford Rd  are suddenly faced with vehicles blocking their through passage down Katanning which is a main road for river side residents and users of the boat ramps and Coulston Park",115.9291130304,-31.9192114429
