State Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"VASSE, SW","360-476 Kaloorup Rd, Jindong","Tight curves or blind crests",23,"14 accidents and 2 fatalities, this road is now a major route that is carrying more local traffic with increase of businesses along with heavy trucks.  ",115.2461528778,-33.7160226782
"VASSE, SW","3462-3470 Caves Rd, Wilyabrup","Narrow road, lanes or bridges",0,"",115.0304603577,-33.744254312
"VASSE, SW","10, Ruabon","Narrow road, lanes or bridges",3,"Bussell Hwy between Capel and Busselton I have seen a lot of drivers sitting 20kms under the speed limit, sometimes more, and little opportunity to overtake. Narrow and bumpy surfaces. This should be dual carriageway both ways all the way.  Drivers get impatient with slow incompetent drivers so push to overtake  (even if not meant to sometimes, I have seen this) and many have caused accidents and many near misses. It is a very busy section of road and only getting busier. How many more must die?",115.4483511844,-33.640730381
"VASSE, SW","Ludlow-Hithergreen Rd, Hithergreen","Narrow road, lanes or bridges",0,"You are competing with oncoming traffic sometimes big trucks for safe space to pass each other on a very tight road, you almost HAVE to travel in the middle of the road to ensure you dont get caught in gravel or pot holes or huge dips in the road especially over the bridges.  Only a matter of time before there's a head on crash or something else on this road. In Winter it floods and is so dangerous to travel on.",115.4943108559,-33.7223229565
"VASSE, SW","10, Ludlow","Narrow road, lanes or bridges",4,"Congestion, overtaking lanes are too short, general risk taking due to drivers trying to overtake on short overtaking lanes",115.4957485199,-33.6118316021
"VASSE, SW","Cyrillean Way & Dunn Bay Rd, Dunsborough","Confusing layout",11,"There are numerous driveways and road coming in at this point, plus parallel parking in both directions.  During the busy season it is difficult and potentially dangerous to turn into the busy Coles shopping centre.",115.1037114859,-33.6163481511
"VASSE, SW","10, Ludlow","Lacks median strip/traffic separation",0,"Desperate manoeuvres around overtaking zones",115.485534668,-33.6146192923
"VASSE, SW","203-203 Bussell Hwy, Yalyalup","Narrow road, lanes or bridges",4,"Between Capel and busselton there are little overtaking lanes, roads are very often busy, wildlife often hit, and during weekends and especially events , public hols and school hols the traffic is well above average.  I have seen many many close calls and come across serious accidents regularly as I near twice daily travel this stretch  (40k kms a year travelled).  Having moved from Perth to here 3 years ago I�۪ve already noticed a significant increase in traffic use.",115.4093170166,-33.655780832
"VASSE, SW","Caves Rd, Abbey","Poor/no pedestrian access/footpath",0,"The bypass through Vasse had not solved the issue of traffic density towards Dunsborough on this section l. What happened to the extension of the bypass to avoid this traffic going past so many residential turnoffs?",115.251300917,-33.6600972938
"VASSE, SW","10, Ruabon","Narrow road, lanes or bridges",2,"Multiple accidents and near misses happen every year, month and day on this stretcher of road. With hundreds of people using is daily and it being the main entry in and out of Busselton it needs immediate attention. Drivers are scared to use this road but unfortunately it is unavoidable. There is minimal overtaking opportunities and for the most part runs as a single carriage way when it should at least be dual, given that it is a busy regional main road. ",115.4487133026,-33.6403296959
"VASSE, SW","527-597 Caves Rd, Marybrook","Speed limit too high",2,"It is very dangerous for pedestrians to cross because of the amount of traffic and the speed of the traffic also for vehicles trying  to pull out onto.Also taking into consideration It is the major access entry for pedestrians to access the beach from a caravan park that is full of young families in the holiday periods. It has been made aware to Main Roads and the council to no avail. Other areas of Caves Rd that are built up are 70klms an hour and this stretch should be the same.",115.2005767822,-33.6552092787
"VASSE, SW","134-356 Kaloorup Rd, Vasse","Poor road surface quality",1,"Cars do well over the speed limit, has been two fatalities in the last two years. High chance of aqua planing into a large tree in winter, as water sits on the surface due to poor drainage and poor road conditions. ",115.2447695049,-33.6953460524
"VASSE, SW","Caves Rd, Gracetown","Tight curves or blind crests",0,"So many deaths have occurred on the the length of Caves Road",115.0274923939,-33.8483480081
"VASSE, SW","3604-3604 Bussell Hwy, Ludlow","Lacks overtaking opportunities",0,"",115.47004222872982,-33.6244983372297
"VASSE, SW","10, Ludlow","Other",0,"Because of the volume of traffic going from two lanes either side of the section between Capel and Provence down to one drivers get frustrated and impatient taking risks to continue travelling at the speed limit",115.4687068972,-33.6274482953
"VASSE, SW","Caves Rd, Abbey","Other",0,"Traffic banks up heading to Busselton,the road can't handle the traffic during most of the year.The speed limit is too high and it is hard to make a right hand turn as there is always so much traffic both ways.I constantly hear brakes, horns orcars gunning it to take off.The road needs to be turned into a tourist drive and the vasse-dunsborough highway link NEEDS to be built to handle the sheer volumes of traffic heading to Dunsborough and surrounding areas.The single lane road is inadequate.",115.2511704795,-33.6599065442
"VASSE, SW","364-388 Caves Rd, Siesta Park","Other",0,"Banked up traffic,hard to enter the road as there is rarely breaks in traffic.Vasse to Dunsborough link would ease the congestion in this part of caves road.",115.220684833,-33.6561824143
